year,total_pr,scenario,model
2069,29.52,ssp126,MPI-ESM1-2-LR
2070,32.51,ssp126,MPI-ESM1-2-LR
2071,31.68,ssp126,MPI-ESM1-2-LR
2072,31.23,ssp126,MPI-ESM1-2-LR
2073,31.69,ssp126,MPI-ESM1-2-LR
2074,30.59,ssp126,MPI-ESM1-2-LR
2075,30.34,ssp126,MPI-ESM1-2-LR
2076,34.05,ssp126,MPI-ESM1-2-LR
2077,27.3,ssp126,MPI-ESM1-2-LR
2078,28.87,ssp126,MPI-ESM1-2-LR
2079,30.17,ssp126,MPI-ESM1-2-LR
2080,30.45,ssp126,MPI-ESM1-2-LR
2081,33.9,ssp126,MPI-ESM1-2-LR
2082,31.57,ssp126,MPI-ESM1-2-LR
2083,33.79,ssp126,MPI-ESM1-2-LR
2084,33.26,ssp126,MPI-ESM1-2-LR
2085,29.89,ssp126,MPI-ESM1-2-LR
2086,33.17,ssp126,MPI-ESM1-2-LR
2087,30.53,ssp126,MPI-ESM1-2-LR
2088,32.94,ssp126,MPI-ESM1-2-LR
2089,31.38,ssp126,MPI-ESM1-2-LR
2090,31.42,ssp126,MPI-ESM1-2-LR
2091,32.15,ssp126,MPI-ESM1-2-LR
2092,32.17,ssp126,MPI-ESM1-2-LR
2093,32.1,ssp126,MPI-ESM1-2-LR
2094,34.01,ssp126,MPI-ESM1-2-LR
2095,30.14,ssp126,MPI-ESM1-2-LR
2096,26.44,ssp126,MPI-ESM1-2-LR
2097,38.16,ssp126,MPI-ESM1-2-LR
2098,31.73,ssp126,MPI-ESM1-2-LR
2099,27.3,ssp126,MPI-ESM1-2-LR
2100,31.45,ssp126,MPI-ESM1-2-LR
1950,32.57,ssp126,MRI-ESM2-0
1951,31.39,ssp126,MRI-ESM2-0
1952,27.36,ssp126,MRI-ESM2-0
1953,23.02,ssp126,MRI-ESM2-0
1954,31.74,ssp126,MRI-ESM2-0
1955,34.15,ssp126,MRI-ESM2-0
1956,26.76,ssp126,MRI-ESM2-0
1957,26.14,ssp126,MRI-ESM2-0
1958,29.79,ssp126,MRI-ESM2-0
1959,29.05,ssp126,MRI-ESM2-0
1960,29.45,ssp126,MRI-ESM2-0
1961,27.28,ssp126,MRI-ESM2-0
1962,32.31,ssp126,MRI-ESM2-0
1963,30.32,ssp126,MRI-ESM2-0
1964,31.58,ssp126,MRI-ESM2-0
1965,29.91,ssp126,MRI-ESM2-0
1966,30.87,ssp126,MRI-ESM2-0
1967,31.21,ssp126,MRI-ESM2-0
1968,27.24,ssp126,MRI-ESM2-0
1969,27.72,ssp126,MRI-ESM2-0
1970,31.17,ssp126,MRI-ESM2-0
1971,31.01,ssp126,MRI-ESM2-0
1972,29.27,ssp126,MRI-ESM2-0
1973,31.12,ssp126,MRI-ESM2-0
1974,35.9,ssp126,MRI-ESM2-0
1975,32.04,ssp126,MRI-ESM2-0
1976,25.94,ssp126,MRI-ESM2-0
1977,25.3,ssp126,MRI-ESM2-0
1978,32.98,ssp126,MRI-ESM2-0
1979,29.44,ssp126,MRI-ESM2-0
1980,31.35,ssp126,MRI-ESM2-0
1981,29.29,ssp126,MRI-ESM2-0
1982,32.3,ssp126,MRI-ESM2-0
1983,29.68,ssp126,MRI-ESM2-0
1984,29.37,ssp126,MRI-ESM2-0
1985,31.44,ssp126,MRI-ESM2-0
1986,31.92,ssp126,MRI-ESM2-0
1987,27.89,ssp126,MRI-ESM2-0
1988,35.04,ssp126,MRI-ESM2-0
1989,28.76,ssp126,MRI-ESM2-0
1990,31.29,ssp126,MRI-ESM2-0
1991,31.44,ssp126,MRI-ESM2-0
1992,28.67,ssp126,MRI-ESM2-0
1993,30.6,ssp126,MRI-ESM2-0
1994,30.61,ssp126,MRI-ESM2-0
1995,31.22,ssp126,MRI-ESM2-0
1996,28.16,ssp126,MRI-ESM2-0
1997,33.67,ssp126,MRI-ESM2-0
1998,30.6,ssp126,MRI-ESM2-0
1999,31.47,ssp126,MRI-ESM2-0
2000,29.71,ssp126,MRI-ESM2-0
2001,31.31,ssp126,MRI-ESM2-0
2002,27.07,ssp126,MRI-ESM2-0
2003,29.26,ssp126,MRI-ESM2-0
2004,31.93,ssp126,MRI-ESM2-0
2005,35.56,ssp126,MRI-ESM2-0
2006,32.2,ssp126,MRI-ESM2-0
2007,30.96,ssp126,MRI-ESM2-0
2008,33.74,ssp126,MRI-ESM2-0
2009,30.14,ssp126,MRI-ESM2-0
2010,25.16,ssp126,MRI-ESM2-0
2011,29.17,ssp126,MRI-ESM2-0
2012,31.54,ssp126,MRI-ESM2-0
2013,30.95,ssp126,MRI-ESM2-0
2014,30.34,ssp126,MRI-ESM2-0
2015,34.6,ssp126,MRI-ESM2-0
2016,31.12,ssp126,MRI-ESM2-0
2017,30.0,ssp126,MRI-ESM2-0
2018,32.13,ssp126,MRI-ESM2-0
2019,33.55,ssp126,MRI-ESM2-0
2020,30.97,ssp126,MRI-ESM2-0
2021,34.68,ssp126,MRI-ESM2-0
2022,28.99,ssp126,MRI-ESM2-0
2023,31.79,ssp126,MRI-ESM2-0
2024,35.12,ssp126,MRI-ESM2-0
2025,31.8,ssp126,MRI-ESM2-0
2026,35.66,ssp126,MRI-ESM2-0
2027,29.22,ssp126,MRI-ESM2-0
2028,31.74,ssp126,MRI-ESM2-0
2029,32.23,ssp126,MRI-ESM2-0
2030,33.82,ssp126,MRI-ESM2-0
2031,31.95,ssp126,MRI-ESM2-0
2032,34.12,ssp126,MRI-ESM2-0
2033,29.0,ssp126,MRI-ESM2-0
2034,34.76,ssp126,MRI-ESM2-0
2035,31.37,ssp126,MRI-ESM2-0
2036,33.48,ssp126,MRI-ESM2-0
2037,29.53,ssp126,MRI-ESM2-0
2038,33.76,ssp126,MRI-ESM2-0
2039,36.78,ssp126,MRI-ESM2-0
2040,31.67,ssp126,MRI-ESM2-0
2041,32.67,ssp126,MRI-ESM2-0
2042,31.73,ssp126,MRI-ESM2-0
2043,32.53,ssp126,MRI-ESM2-0
2044,35.41,ssp126,MRI-ESM2-0
2045,34.11,ssp126,MRI-ESM2-0
2046,28.41,ssp126,MRI-ESM2-0
2047,32.29,ssp126,MRI-ESM2-0
2048,36.48,ssp126,MRI-ESM2-0
2049,29.64,ssp126,MRI-ESM2-0
2050,36.32,ssp126,MRI-ESM2-0
2051,36.98,ssp126,MRI-ESM2-0
2052,35.32,ssp126,MRI-ESM2-0
2053,33.22,ssp126,MRI-ESM2-0
2054,35.65,ssp126,MRI-ESM2-0
2055,35.01,ssp126,MRI-ESM2-0
2056,32.63,ssp126,MRI-ESM2-0
2057,28.65,ssp126,MRI-ESM2-0
2058,31.34,ssp126,MRI-ESM2-0
2059,31.71,ssp126,MRI-ESM2-0
2060,32.14,ssp126,MRI-ESM2-0
2061,31.74,ssp126,MRI-ESM2-0
2062,32.41,ssp126,MRI-ESM2-0
2063,30.72,ssp126,MRI-ESM2-0
2064,35.37,ssp126,MRI-ESM2-0
2065,38.05,ssp126,MRI-ESM2-0
2066,35.31,ssp126,MRI-ESM2-0
2067,34.54,ssp126,MRI-ESM2-0
2068,33.39,ssp126,MRI-ESM2-0
2069,32.59,ssp126,MRI-ESM2-0
2070,33.43,ssp126,MRI-ESM2-0
2071,29.19,ssp126,MRI-ESM2-0
2072,29.11,ssp126,MRI-ESM2-0
2073,30.15,ssp126,MRI-ESM2-0
2074,36.81,ssp126,MRI-ESM2-0
2075,36.82,ssp126,MRI-ESM2-0
2076,34.43,ssp126,MRI-ESM2-0
2077,30.88,ssp126,MRI-ESM2-0
2078,33.44,ssp126,MRI-ESM2-0
2079,31.1,ssp126,MRI-ESM2-0
2080,34.66,ssp126,MRI-ESM2-0
2081,28.75,ssp126,MRI-ESM2-0
2082,30.09,ssp126,MRI-ESM2-0
2083,29.31,ssp126,MRI-ESM2-0
2084,35.01,ssp126,MRI-ESM2-0
2085,35.09,ssp126,MRI-ESM2-0
2086,31.18,ssp126,MRI-ESM2-0
2087,34.71,ssp126,MRI-ESM2-0
2088,33.42,ssp126,MRI-ESM2-0
2089,34.7,ssp126,MRI-ESM2-0
2090,36.37,ssp126,MRI-ESM2-0
2091,34.89,ssp126,MRI-ESM2-0
2092,33.88,ssp126,MRI-ESM2-0
2093,31.08,ssp126,MRI-ESM2-0
2094,34.43,ssp126,MRI-ESM2-0
2095,30.1,ssp126,MRI-ESM2-0
2096,29.18,ssp126,MRI-ESM2-0
2097,35.31,ssp126,MRI-ESM2-0
2098,34.54,ssp126,MRI-ESM2-0
2099,38.83,ssp126,MRI-ESM2-0
2100,35.93,ssp126,MRI-ESM2-0
1950,29.56,ssp126,NorESM2-LM
1951,33.2,ssp126,NorESM2-LM
1952,27.61,ssp126,NorESM2-LM
1953,24.97,ssp126,NorESM2-LM
1954,33.02,ssp126,NorESM2-LM
1955,30.34,ssp126,NorESM2-LM
1956,25.57,ssp126,NorESM2-LM
1957,29.3,ssp126,NorESM2-LM
1958,31.26,ssp126,NorESM2-LM
1959,28.63,ssp126,NorESM2-LM
1960,27.93,ssp126,NorESM2-LM
1961,25.58,ssp126,NorESM2-LM
1962,33.88,ssp126,NorESM2-LM
1963,28.31,ssp126,NorESM2-LM
1964,30.89,ssp126,NorESM2-LM
1965,32.96,ssp126,NorESM2-LM
1966,35.36,ssp126,NorESM2-LM
1967,25.97,ssp126,NorESM2-LM
1968,26.3,ssp126,NorESM2-LM
1969,29.38,ssp126,NorESM2-LM
1970,34.38,ssp126,NorESM2-LM
1971,29.21,ssp126,NorESM2-LM
1972,31.33,ssp126,NorESM2-LM
1973,29.29,ssp126,NorESM2-LM
1974,27.91,ssp126,NorESM2-LM
1975,27.36,ssp126,NorESM2-LM
1976,32.04,ssp126,NorESM2-LM
1977,32.6,ssp126,NorESM2-LM
1978,26.26,ssp126,NorESM2-LM
1979,31.36,ssp126,NorESM2-LM
1980,32.17,ssp126,NorESM2-LM
1981,32.91,ssp126,NorESM2-LM
1982,33.35,ssp126,NorESM2-LM
1983,29.55,ssp126,NorESM2-LM
1984,28.68,ssp126,NorESM2-LM
1985,27.27,ssp126,NorESM2-LM
1986,33.34,ssp126,NorESM2-LM
1987,27.3,ssp126,NorESM2-LM
1988,32.41,ssp126,NorESM2-LM
1989,32.96,ssp126,NorESM2-LM
1990,30.49,ssp126,NorESM2-LM
1991,33.07,ssp126,NorESM2-LM
1992,28.07,ssp126,NorESM2-LM
1993,24.34,ssp126,NorESM2-LM
1994,27.74,ssp126,NorESM2-LM
1995,30.31,ssp126,NorESM2-LM
1996,30.42,ssp126,NorESM2-LM
1997,32.46,ssp126,NorESM2-LM
1998,32.02,ssp126,NorESM2-LM
1999,31.34,ssp126,NorESM2-LM
2000,33.8,ssp126,NorESM2-LM
2001,30.44,ssp126,NorESM2-LM
2002,27.43,ssp126,NorESM2-LM
2003,29.04,ssp126,NorESM2-LM
2004,33.9,ssp126,NorESM2-LM
2005,26.75,ssp126,NorESM2-LM
2006,27.18,ssp126,NorESM2-LM
2007,34.58,ssp126,NorESM2-LM
2008,30.42,ssp126,NorESM2-LM
2009,34.86,ssp126,NorESM2-LM
2010,32.51,ssp126,NorESM2-LM
2011,31.59,ssp126,NorESM2-LM
2012,27.65,ssp126,NorESM2-LM
2013,35.71,ssp126,NorESM2-LM
2014,32.53,ssp126,NorESM2-LM
2015,30.95,ssp126,NorESM2-LM
2016,30.87,ssp126,NorESM2-LM
2017,28.87,ssp126,NorESM2-LM
2018,33.4,ssp126,NorESM2-LM
2019,29.18,ssp126,NorESM2-LM
2020,29.85,ssp126,NorESM2-LM
2021,30.7,ssp126,NorESM2-LM
2022,32.74,ssp126,NorESM2-LM
2023,26.4,ssp126,NorESM2-LM
2024,27.49,ssp126,NorESM2-LM
2025,26.65,ssp126,NorESM2-LM
2026,30.73,ssp126,NorESM2-LM
2027,32.67,ssp126,NorESM2-LM
2028,33.17,ssp126,NorESM2-LM
2029,35.34,ssp126,NorESM2-LM
2030,30.99,ssp126,NorESM2-LM
2031,29.36,ssp126,NorESM2-LM
2032,35.69,ssp126,NorESM2-LM
2033,24.76,ssp126,NorESM2-LM
2034,30.51,ssp126,NorESM2-LM
2035,34.51,ssp126,NorESM2-LM
2036,31.87,ssp126,NorESM2-LM
2037,35.83,ssp126,NorESM2-LM
2038,30.14,ssp126,NorESM2-LM
2039,28.96,ssp126,NorESM2-LM
2040,30.99,ssp126,NorESM2-LM
2041,30.06,ssp126,NorESM2-LM
2042,42.66,ssp126,NorESM2-LM
2043,34.72,ssp126,NorESM2-LM
2044,27.65,ssp126,NorESM2-LM
2045,27.2,ssp126,NorESM2-LM
2046,29.11,ssp126,NorESM2-LM
2047,31.4,ssp126,NorESM2-LM
2048,38.27,ssp126,NorESM2-LM
2049,33.9,ssp126,NorESM2-LM
2050,28.05,ssp126,NorESM2-LM
2051,25.55,ssp126,NorESM2-LM
2052,27.37,ssp126,NorESM2-LM
2053,31.16,ssp126,NorESM2-LM
2054,28.96,ssp126,NorESM2-LM
2055,28.16,ssp126,NorESM2-LM
2056,32.31,ssp126,NorESM2-LM
2057,34.75,ssp126,NorESM2-LM
2058,30.28,ssp126,NorESM2-LM
2059,39.19,ssp126,NorESM2-LM
2060,32.93,ssp126,NorESM2-LM
2061,30.49,ssp126,NorESM2-LM
2062,32.62,ssp126,NorESM2-LM
2063,34.99,ssp126,NorESM2-LM
2064,29.03,ssp126,NorESM2-LM
2065,29.38,ssp126,NorESM2-LM
2066,29.65,ssp126,NorESM2-LM
2067,31.27,ssp126,NorESM2-LM
2068,27.3,ssp126,NorESM2-LM
2069,37.43,ssp126,NorESM2-LM
2070,31.54,ssp126,NorESM2-LM
2071,25.61,ssp126,NorESM2-LM
2072,28.49,ssp126,NorESM2-LM
2073,34.27,ssp126,NorESM2-LM
2074,32.65,ssp126,NorESM2-LM
2075,28.97,ssp126,NorESM2-LM
2076,29.88,ssp126,NorESM2-LM
2077,36.11,ssp126,NorESM2-LM
2078,28.77,ssp126,NorESM2-LM
2079,29.77,ssp126,NorESM2-LM
2080,28.17,ssp126,NorESM2-LM
2081,36.57,ssp126,NorESM2-LM
2082,33.52,ssp126,NorESM2-LM
2083,32.89,ssp126,NorESM2-LM
2084,35.23,ssp126,NorESM2-LM
2085,25.43,ssp126,NorESM2-LM
2086,26.03,ssp126,NorESM2-LM
2087,28.73,ssp126,NorESM2-LM
2088,28.15,ssp126,NorESM2-LM
2089,34.33,ssp126,NorESM2-LM
2090,32.07,ssp126,NorESM2-LM
2091,32.65,ssp126,NorESM2-LM
2092,27.15,ssp126,NorESM2-LM
2093,31.83,ssp126,NorESM2-LM
2094,39.02,ssp126,NorESM2-LM
2095,29.92,ssp126,NorESM2-LM
2096,33.71,ssp126,NorESM2-LM
2097,31.76,ssp126,NorESM2-LM
2098,31.01,ssp126,NorESM2-LM
2099,28.6,ssp126,NorESM2-LM
2100,33.08,ssp126,NorESM2-LM
1950,32.72,ssp126,NorESM2-MM
1951,33.26,ssp126,NorESM2-MM
1952,29.15,ssp126,NorESM2-MM
1953,32.43,ssp126,NorESM2-MM
1954,31.16,ssp126,NorESM2-MM
1955,29.2,ssp126,NorESM2-MM
1956,29.13,ssp126,NorESM2-MM
1957,27.45,ssp126,NorESM2-MM
1958,32.47,ssp126,NorESM2-MM
1959,32.88,ssp126,NorESM2-MM
1960,32.46,ssp126,NorESM2-MM
1961,32.75,ssp126,NorESM2-MM
1962,33.77,ssp126,NorESM2-MM
1963,31.12,ssp126,NorESM2-MM
1964,28.92,ssp126,NorESM2-MM
1965,31.89,ssp126,NorESM2-MM
1966,28.52,ssp126,NorESM2-MM
1967,28.07,ssp126,NorESM2-MM
1968,26.19,ssp126,NorESM2-MM
1969,29.15,ssp126,NorESM2-MM
1970,29.43,ssp126,NorESM2-MM
1971,27.9,ssp126,NorESM2-MM
1972,32.05,ssp126,NorESM2-MM
1973,28.49,ssp126,NorESM2-MM
1974,31.28,ssp126,NorESM2-MM
1975,34.58,ssp126,NorESM2-MM
1976,30.19,ssp126,NorESM2-MM
1977,36.4,ssp126,NorESM2-MM
1978,28.5,ssp126,NorESM2-MM
1979,34.51,ssp126,NorESM2-MM
1980,27.87,ssp126,NorESM2-MM
1981,26.44,ssp126,NorESM2-MM
1982,32.64,ssp126,NorESM2-MM
1983,26.18,ssp126,NorESM2-MM
1984,31.59,ssp126,NorESM2-MM
1985,27.62,ssp126,NorESM2-MM
1986,28.09,ssp126,NorESM2-MM
1987,27.37,ssp126,NorESM2-MM
1988,26.63,ssp126,NorESM2-MM
1989,30.0,ssp126,NorESM2-MM
1990,36.06,ssp126,NorESM2-MM
1991,31.82,ssp126,NorESM2-MM
1992,24.92,ssp126,NorESM2-MM
1993,27.39,ssp126,NorESM2-MM
1994,35.82,ssp126,NorESM2-MM
1995,35.11,ssp126,NorESM2-MM
1996,36.97,ssp126,NorESM2-MM
1997,29.91,ssp126,NorESM2-MM
1998,26.03,ssp126,NorESM2-MM
1999,27.46,ssp126,NorESM2-MM
2000,23.64,ssp126,NorESM2-MM
2001,28.94,ssp126,NorESM2-MM
2002,29.06,ssp126,NorESM2-MM
2003,32.99,ssp126,NorESM2-MM
2004,38.61,ssp126,NorESM2-MM
2005,34.5,ssp126,NorESM2-MM
2006,33.64,ssp126,NorESM2-MM
2007,27.95,ssp126,NorESM2-MM
2008,27.74,ssp126,NorESM2-MM
2009,28.14,ssp126,NorESM2-MM
2010,29.81,ssp126,NorESM2-MM
2011,28.82,ssp126,NorESM2-MM
2012,26.41,ssp126,NorESM2-MM
2013,31.01,ssp126,NorESM2-MM
2014,36.29,ssp126,NorESM2-MM
2015,34.96,ssp126,NorESM2-MM
2016,33.94,ssp126,NorESM2-MM
2017,32.38,ssp126,NorESM2-MM
2018,34.46,ssp126,NorESM2-MM
2019,34.91,ssp126,NorESM2-MM
2020,35.49,ssp126,NorESM2-MM
2021,30.78,ssp126,NorESM2-MM
2022,29.6,ssp126,NorESM2-MM
2023,29.88,ssp126,NorESM2-MM
2024,27.67,ssp126,NorESM2-MM
2025,29.45,ssp126,NorESM2-MM
2026,31.05,ssp126,NorESM2-MM
2027,34.52,ssp126,NorESM2-MM
2028,34.46,ssp126,NorESM2-MM
2029,27.89,ssp126,NorESM2-MM
2030,32.81,ssp126,NorESM2-MM
2031,36.36,ssp126,NorESM2-MM
2032,34.1,ssp126,NorESM2-MM
2033,32.08,ssp126,NorESM2-MM
2034,30.18,ssp126,NorESM2-MM
2035,28.58,ssp126,NorESM2-MM
2036,27.22,ssp126,NorESM2-MM
2037,38.1,ssp126,NorESM2-MM
2038,35.59,ssp126,NorESM2-MM
2039,33.53,ssp126,NorESM2-MM
2040,36.61,ssp126,NorESM2-MM
2041,33.59,ssp126,NorESM2-MM
2042,31.84,ssp126,NorESM2-MM
2043,34.56,ssp126,NorESM2-MM
2044,38.6,ssp126,NorESM2-MM
2045,31.07,ssp126,NorESM2-MM
2046,32.65,ssp126,NorESM2-MM
2047,38.27,ssp126,NorESM2-MM
2048,29.26,ssp126,NorESM2-MM
2049,31.12,ssp126,NorESM2-MM
2050,32.67,ssp126,NorESM2-MM
2051,32.32,ssp126,NorESM2-MM
2052,34.11,ssp126,NorESM2-MM
2053,32.99,ssp126,NorESM2-MM
2054,31.26,ssp126,NorESM2-MM
2055,29.83,ssp126,NorESM2-MM
2056,30.05,ssp126,NorESM2-MM
2057,32.32,ssp126,NorESM2-MM
2058,36.56,ssp126,NorESM2-MM
2059,27.51,ssp126,NorESM2-MM
2060,29.03,ssp126,NorESM2-MM
2061,33.21,ssp126,NorESM2-MM
2062,34.83,ssp126,NorESM2-MM
2063,39.12,ssp126,NorESM2-MM
2064,33.94,ssp126,NorESM2-MM
2065,30.65,ssp126,NorESM2-MM
2066,28.84,ssp126,NorESM2-MM
2067,31.54,ssp126,NorESM2-MM
2068,29.4,ssp126,NorESM2-MM
2069,29.27,ssp126,NorESM2-MM
2070,35.93,ssp126,NorESM2-MM
2071,31.78,ssp126,NorESM2-MM
2072,33.3,ssp126,NorESM2-MM
2073,32.31,ssp126,NorESM2-MM
2074,28.42,ssp126,NorESM2-MM
2075,30.9,ssp126,NorESM2-MM
2076,30.6,ssp126,NorESM2-MM
2077,35.0,ssp126,NorESM2-MM
2078,30.26,ssp126,NorESM2-MM
2079,34.07,ssp126,NorESM2-MM
2080,32.09,ssp126,NorESM2-MM
2081,33.99,ssp126,NorESM2-MM
2082,31.64,ssp126,NorESM2-MM
2083,32.49,ssp126,NorESM2-MM
2084,34.64,ssp126,NorESM2-MM
2085,32.8,ssp126,NorESM2-MM
2086,36.22,ssp126,NorESM2-MM
2087,30.13,ssp126,NorESM2-MM
2088,33.68,ssp126,NorESM2-MM
2089,33.29,ssp126,NorESM2-MM
2090,36.37,ssp126,NorESM2-MM
2091,30.58,ssp126,NorESM2-MM
2092,29.01,ssp126,NorESM2-MM
2093,31.68,ssp126,NorESM2-MM
2094,30.51,ssp126,NorESM2-MM
2095,31.59,ssp126,NorESM2-MM
2096,35.18,ssp126,NorESM2-MM
2097,34.54,ssp126,NorESM2-MM
2098,35.17,ssp126,NorESM2-MM
2099,32.58,ssp126,NorESM2-MM
2100,29.81,ssp126,NorESM2-MM
1950,31.87,ssp245,ACCESS-CM2
1951,31.01,ssp245,ACCESS-CM2
1952,33.86,ssp245,ACCESS-CM2
1953,29.9,ssp245,ACCESS-CM2
1954,30.36,ssp245,ACCESS-CM2
1955,31.92,ssp245,ACCESS-CM2
1956,27.28,ssp245,ACCESS-CM2
1957,30.86,ssp245,ACCESS-CM2
1958,31.59,ssp245,ACCESS-CM2
1959,28.74,ssp245,ACCESS-CM2
1960,30.03,ssp245,ACCESS-CM2
1961,28.37,ssp245,ACCESS-CM2
1962,29.7,ssp245,ACCESS-CM2
1963,30.45,ssp245,ACCESS-CM2
1964,31.57,ssp245,ACCESS-CM2
1965,29.64,ssp245,ACCESS-CM2
1966,31.97,ssp245,ACCESS-CM2
1967,28.53,ssp245,ACCESS-CM2
1968,31.13,ssp245,ACCESS-CM2
1969,25.53,ssp245,ACCESS-CM2
1970,28.78,ssp245,ACCESS-CM2
1971,28.5,ssp245,ACCESS-CM2
1972,33.08,ssp245,ACCESS-CM2
1973,31.15,ssp245,ACCESS-CM2
1974,31.7,ssp245,ACCESS-CM2
1975,34.28,ssp245,ACCESS-CM2
1976,35.55,ssp245,ACCESS-CM2
1977,27.92,ssp245,ACCESS-CM2
1978,28.29,ssp245,ACCESS-CM2
1979,28.69,ssp245,ACCESS-CM2
1980,29.04,ssp245,ACCESS-CM2
1981,27.02,ssp245,ACCESS-CM2
1982,31.15,ssp245,ACCESS-CM2
1983,30.09,ssp245,ACCESS-CM2
1984,29.27,ssp245,ACCESS-CM2
1985,33.58,ssp245,ACCESS-CM2
1986,30.45,ssp245,ACCESS-CM2
1987,31.94,ssp245,ACCESS-CM2
1988,31.45,ssp245,ACCESS-CM2
1989,29.37,ssp245,ACCESS-CM2
1990,30.9,ssp245,ACCESS-CM2
1991,32.12,ssp245,ACCESS-CM2
1992,30.12,ssp245,ACCESS-CM2
1993,31.28,ssp245,ACCESS-CM2
1994,29.55,ssp245,ACCESS-CM2
1995,29.37,ssp245,ACCESS-CM2
1996,29.64,ssp245,ACCESS-CM2
1997,27.8,ssp245,ACCESS-CM2
1998,29.61,ssp245,ACCESS-CM2
1999,31.08,ssp245,ACCESS-CM2
2000,27.83,ssp245,ACCESS-CM2
2001,26.75,ssp245,ACCESS-CM2
2002,30.08,ssp245,ACCESS-CM2
2003,33.95,ssp245,ACCESS-CM2
2004,32.0,ssp245,ACCESS-CM2
2005,33.65,ssp245,ACCESS-CM2
2006,30.7,ssp245,ACCESS-CM2
2007,30.05,ssp245,ACCESS-CM2
2008,28.34,ssp245,ACCESS-CM2
2009,28.17,ssp245,ACCESS-CM2
2010,32.79,ssp245,ACCESS-CM2
2011,33.59,ssp245,ACCESS-CM2
2012,30.8,ssp245,ACCESS-CM2
2013,24.95,ssp245,ACCESS-CM2
2014,30.13,ssp245,ACCESS-CM2
2015,30.86,ssp245,ACCESS-CM2
2016,28.1,ssp245,ACCESS-CM2
2017,32.28,ssp245,ACCESS-CM2
2018,32.43,ssp245,ACCESS-CM2
2019,33.26,ssp245,ACCESS-CM2
2020,29.5,ssp245,ACCESS-CM2
2021,27.17,ssp245,ACCESS-CM2
2022,31.47,ssp245,ACCESS-CM2
2023,35.2,ssp245,ACCESS-CM2
2024,31.2,ssp245,ACCESS-CM2
2025,36.16,ssp245,ACCESS-CM2
2026,34.31,ssp245,ACCESS-CM2
2027,29.06,ssp245,ACCESS-CM2
2028,33.87,ssp245,ACCESS-CM2
2029,29.46,ssp245,ACCESS-CM2
2030,34.46,ssp245,ACCESS-CM2
2031,35.43,ssp245,ACCESS-CM2
2032,29.65,ssp245,ACCESS-CM2
2033,34.37,ssp245,ACCESS-CM2
2034,42.61,ssp245,ACCESS-CM2
2035,35.24,ssp245,ACCESS-CM2
2036,32.38,ssp245,ACCESS-CM2
2037,32.29,ssp245,ACCESS-CM2
2038,33.1,ssp245,ACCESS-CM2
2039,32.15,ssp245,ACCESS-CM2
2040,28.82,ssp245,ACCESS-CM2
2041,31.52,ssp245,ACCESS-CM2
2042,34.13,ssp245,ACCESS-CM2
2043,33.77,ssp245,ACCESS-CM2
2044,30.3,ssp245,ACCESS-CM2
2045,33.15,ssp245,ACCESS-CM2
2046,34.68,ssp245,ACCESS-CM2
2047,31.9,ssp245,ACCESS-CM2
2048,32.99,ssp245,ACCESS-CM2
2049,30.92,ssp245,ACCESS-CM2
2050,32.6,ssp245,ACCESS-CM2
2051,30.22,ssp245,ACCESS-CM2
2052,32.9,ssp245,ACCESS-CM2
2053,30.91,ssp245,ACCESS-CM2
2054,30.66,ssp245,ACCESS-CM2
2055,31.85,ssp245,ACCESS-CM2
2056,29.93,ssp245,ACCESS-CM2
2057,32.94,ssp245,ACCESS-CM2
2058,38.05,ssp245,ACCESS-CM2
2059,33.0,ssp245,ACCESS-CM2
2060,30.79,ssp245,ACCESS-CM2
2061,36.95,ssp245,ACCESS-CM2
2062,33.75,ssp245,ACCESS-CM2
2063,33.74,ssp245,ACCESS-CM2
2064,34.31,ssp245,ACCESS-CM2
2065,36.08,ssp245,ACCESS-CM2
2066,28.47,ssp245,ACCESS-CM2
2067,31.65,ssp245,ACCESS-CM2
2068,37.97,ssp245,ACCESS-CM2
2069,36.37,ssp245,ACCESS-CM2
2070,35.27,ssp245,ACCESS-CM2
2071,33.85,ssp245,ACCESS-CM2
2072,32.7,ssp245,ACCESS-CM2
2073,32.3,ssp245,ACCESS-CM2
2074,33.75,ssp245,ACCESS-CM2
2075,28.95,ssp245,ACCESS-CM2
2076,31.32,ssp245,ACCESS-CM2
2077,31.37,ssp245,ACCESS-CM2
2078,29.71,ssp245,ACCESS-CM2
2079,36.55,ssp245,ACCESS-CM2
2080,34.84,ssp245,ACCESS-CM2
2081,30.5,ssp245,ACCESS-CM2
2082,40.09,ssp245,ACCESS-CM2
2083,33.62,ssp245,ACCESS-CM2
2084,32.5,ssp245,ACCESS-CM2
2085,34.42,ssp245,ACCESS-CM2
2086,31.63,ssp245,ACCESS-CM2
2087,33.69,ssp245,ACCESS-CM2
2088,31.03,ssp245,ACCESS-CM2
2089,29.96,ssp245,ACCESS-CM2
2090,33.36,ssp245,ACCESS-CM2
2091,33.86,ssp245,ACCESS-CM2
2092,33.46,ssp245,ACCESS-CM2
2093,37.14,ssp245,ACCESS-CM2
2094,31.14,ssp245,ACCESS-CM2
2095,32.97,ssp245,ACCESS-CM2
2096,27.95,ssp245,ACCESS-CM2
2097,34.51,ssp245,ACCESS-CM2
2098,35.6,ssp245,ACCESS-CM2
2099,32.29,ssp245,ACCESS-CM2
2100,30.18,ssp245,ACCESS-CM2
