year,season,scenario,model,snc_mile2
1864,2,historical,bcc_csm2_mr,3437635.23748869
1864,3,historical,bcc_csm2_mr,767154.71269878
1864,4,historical,bcc_csm2_mr,1749786.05120511
1865,1,historical,bcc_csm2_mr,4625275.16118364
1865,2,historical,bcc_csm2_mr,3419262.98937162
1865,3,historical,bcc_csm2_mr,787361.030736305
1865,4,historical,bcc_csm2_mr,1619513.10654803
1866,1,historical,bcc_csm2_mr,4769390.27569524
1866,2,historical,bcc_csm2_mr,3702076.72053921
1866,3,historical,bcc_csm2_mr,695768.526095929
1866,4,historical,bcc_csm2_mr,1867960.30114877
1867,1,historical,bcc_csm2_mr,4379978.40286467
1867,2,historical,bcc_csm2_mr,3404898.75811818
1867,3,historical,bcc_csm2_mr,704910.785076387
1867,4,historical,bcc_csm2_mr,1704383.32934994
1868,1,historical,bcc_csm2_mr,5106117.45625339
1868,2,historical,bcc_csm2_mr,3644264.65521495
1868,3,historical,bcc_csm2_mr,620870.055234671
1868,4,historical,bcc_csm2_mr,1770058.47780236
1869,1,historical,bcc_csm2_mr,4760303.30078588
1869,2,historical,bcc_csm2_mr,3277488.3601609
1869,3,historical,bcc_csm2_mr,680426.894331247
1869,4,historical,bcc_csm2_mr,2024666.47257463
1870,1,historical,bcc_csm2_mr,5138551.45244876
1870,2,historical,bcc_csm2_mr,3853417.63402772
1870,3,historical,bcc_csm2_mr,866862.704954284
1870,4,historical,bcc_csm2_mr,1886274.34061664
1871,1,historical,bcc_csm2_mr,5424484.3740977
1871,2,historical,bcc_csm2_mr,3842104.6590204
1871,3,historical,bcc_csm2_mr,719325.234033615
1871,4,historical,bcc_csm2_mr,1844868.56346556
1872,1,historical,bcc_csm2_mr,4863697.86268322
1872,2,historical,bcc_csm2_mr,3782138.05160632
1872,3,historical,bcc_csm2_mr,700308.203143014
1872,4,historical,bcc_csm2_mr,1827155.65902681
1873,1,historical,bcc_csm2_mr,5216464.69506739
1873,2,historical,bcc_csm2_mr,3613942.68721786
1873,3,historical,bcc_csm2_mr,652941.984125007
1873,4,historical,bcc_csm2_mr,1584520.613443
1874,1,historical,bcc_csm2_mr,5228671.16606007
1874,2,historical,bcc_csm2_mr,3438921.40754457
1874,3,historical,bcc_csm2_mr,659352.62485264
1874,4,historical,bcc_csm2_mr,2038923.67451185
1875,1,historical,bcc_csm2_mr,5192290.33026611
1875,2,historical,bcc_csm2_mr,3928385.50154944
1875,3,historical,bcc_csm2_mr,719245.08415415
1875,4,historical,bcc_csm2_mr,1926822.49197641
1876,1,historical,bcc_csm2_mr,4474189.34906011
1876,2,historical,bcc_csm2_mr,3295604.69781164
1876,3,historical,bcc_csm2_mr,654927.550390685
1876,4,historical,bcc_csm2_mr,1891144.62627484
1877,1,historical,bcc_csm2_mr,4789117.25945203
1877,2,historical,bcc_csm2_mr,3669530.71278028
1877,3,historical,bcc_csm2_mr,802400.993333559
1877,4,historical,bcc_csm2_mr,1992423.7936673
1878,1,historical,bcc_csm2_mr,5134803.24634409
1878,2,historical,bcc_csm2_mr,3550203.92811016
1878,3,historical,bcc_csm2_mr,625118.589003643
1878,4,historical,bcc_csm2_mr,1979436.49544702
1879,1,historical,bcc_csm2_mr,4379963.32496961
1879,2,historical,bcc_csm2_mr,3258592.65178647
1879,3,historical,bcc_csm2_mr,571422.131003511
1879,4,historical,bcc_csm2_mr,1851651.27363949
1880,1,historical,bcc_csm2_mr,5012165.9133421
1880,2,historical,bcc_csm2_mr,3845902.68771539
1880,3,historical,bcc_csm2_mr,814351.299101711
1880,4,historical,bcc_csm2_mr,2026374.85438863
1881,1,historical,bcc_csm2_mr,5199642.53528597
1881,2,historical,bcc_csm2_mr,3784316.97313902
1881,3,historical,bcc_csm2_mr,620463.718062809
1881,4,historical,bcc_csm2_mr,1840384.31331358
1882,1,historical,bcc_csm2_mr,4457890.6361052
1882,2,historical,bcc_csm2_mr,3660720.74642422
1882,3,historical,bcc_csm2_mr,607357.732451647
1882,4,historical,bcc_csm2_mr,1754287.21838985
1883,1,historical,bcc_csm2_mr,4564989.23396877
1883,2,historical,bcc_csm2_mr,3595248.5157404
1883,3,historical,bcc_csm2_mr,551677.832554951
1883,4,historical,bcc_csm2_mr,1767013.67112558
1884,1,historical,bcc_csm2_mr,5369495.75546123
1884,2,historical,bcc_csm2_mr,3804413.97316972
1884,3,historical,bcc_csm2_mr,860576.210280246
1884,4,historical,bcc_csm2_mr,1766313.92465518
1885,1,historical,bcc_csm2_mr,4598748.82341813
