year,scenario,snc_mile2
2089,ssp370,1814035
2090,ssp370,1806801
2091,ssp370,1820317
2092,ssp370,1800055
2093,ssp370,1840340
2094,ssp370,1787059
2095,ssp370,1725132
2096,ssp370,1775871
2097,ssp370,1782373
2098,ssp370,1787273
2099,ssp370,1729191
2100,ssp370,1784323
2015,ssp585,2322210
2016,ssp585,2371575
2017,ssp585,2346545
2018,ssp585,2357299
2019,ssp585,2324057
2020,ssp585,2290814
2021,ssp585,2330191
2022,ssp585,2301942
2023,ssp585,2294058
2024,ssp585,2272191
2025,ssp585,2266478
2026,ssp585,2295150
2027,ssp585,2341476
2028,ssp585,2221879
2029,ssp585,2234721
2030,ssp585,2292832
2031,ssp585,2238337
2032,ssp585,2217068
2033,ssp585,2261396
2034,ssp585,2237524
2035,ssp585,2252133
2036,ssp585,2195122
2037,ssp585,2197080
2038,ssp585,2231281
2039,ssp585,2238152
2040,ssp585,2212477
2041,ssp585,2188495
2042,ssp585,2110774
2043,ssp585,2133738
2044,ssp585,2097243
2045,ssp585,2092773
2046,ssp585,2140652
2047,ssp585,2163380
2048,ssp585,2084348
2049,ssp585,2058771
2050,ssp585,2053798
2051,ssp585,2082500
2052,ssp585,2091235
2053,ssp585,2090775
2054,ssp585,2070824
2055,ssp585,2049315
2056,ssp585,2006190
2057,ssp585,2010728
2058,ssp585,2032118
2059,ssp585,1967233
2060,ssp585,1945866
2061,ssp585,1932971
2062,ssp585,2006516
2063,ssp585,1965775
2064,ssp585,1983144
2065,ssp585,1972679
2066,ssp585,1962108
2067,ssp585,1889871
2068,ssp585,1929297
2069,ssp585,1902731
2070,ssp585,1864016
2071,ssp585,1872550
2072,ssp585,1869899
2073,ssp585,1828423
2074,ssp585,1840592
2075,ssp585,1824543
2076,ssp585,1831642
2077,ssp585,1841086
2078,ssp585,1881410
2079,ssp585,1869038
2080,ssp585,1753850
2081,ssp585,1724107
2082,ssp585,1702233
2083,ssp585,1692528
2084,ssp585,1734422
2085,ssp585,1667330
2086,ssp585,1669163
2087,ssp585,1674891
2088,ssp585,1678440
2089,ssp585,1666382
2090,ssp585,1645568
2091,ssp585,1613206
2092,ssp585,1709437
2093,ssp585,1650296
2094,ssp585,1572872
2095,ssp585,1612621
2096,ssp585,1583085
2097,ssp585,1595762
2098,ssp585,1578124
2099,ssp585,1527924
2100,ssp585,1508042
