year,season,scenario,snc_mile2
2012,4,historical,1654978
2013,1,historical,4705268
2013,2,historical,2957804
2013,3,historical,327007
2013,4,historical,1516270
2014,1,historical,4580084
2014,2,historical,2916592
2014,3,historical,326544
2014,4,historical,1581283
2015,1,ssp126,4191366
2015,2,ssp126,3035470
2015,3,ssp126,351299
2015,4,ssp126,1573174
2016,1,ssp126,4595793
2016,2,ssp126,3031873
2016,3,ssp126,318020
2016,4,ssp126,1540899
2017,1,ssp126,4621526
2017,2,ssp126,3022774
2017,3,ssp126,321531
2017,4,ssp126,1560770
2018,1,ssp126,4629127
2018,2,ssp126,3022630
2018,3,ssp126,303092
2018,4,ssp126,1525095
2019,1,ssp126,4444222
2019,2,ssp126,2861401
2019,3,ssp126,304730
2019,4,ssp126,1490461
2020,1,ssp126,4515704
2020,2,ssp126,2932551
2020,3,ssp126,298115
2020,4,ssp126,1499447
2021,1,ssp126,4664971
2021,2,ssp126,2991092
2021,3,ssp126,298862
2021,4,ssp126,1474960
2022,1,ssp126,4531681
2022,2,ssp126,2851767
2022,3,ssp126,305439
2022,4,ssp126,1548402
2023,1,ssp126,4523150
2023,2,ssp126,2906288
2023,3,ssp126,336821
2023,4,ssp126,1531085
2024,1,ssp126,4531984
2024,2,ssp126,2891988
2024,3,ssp126,299646
2024,4,ssp126,1447660
2025,1,ssp126,4520097
2025,2,ssp126,2903958
2025,3,ssp126,293515
2025,4,ssp126,1454634
2026,1,ssp126,4422692
2026,2,ssp126,2844197
2026,3,ssp126,286609
2026,4,ssp126,1493910
2027,1,ssp126,4619994
2027,2,ssp126,3054592
2027,3,ssp126,299117
2027,4,ssp126,1526716
2028,1,ssp126,4418305
2028,2,ssp126,2862571
2028,3,ssp126,303376
2028,4,ssp126,1517698
2029,1,ssp126,4525169
2029,2,ssp126,2900258
2029,3,ssp126,314247
2029,4,ssp126,1468737
2030,1,ssp126,4519491
2030,2,ssp126,2797656
2030,3,ssp126,309344
2030,4,ssp126,1536436
2031,1,ssp126,4499560
2031,2,ssp126,2813111
2031,3,ssp126,295516
2031,4,ssp126,1462132
2032,1,ssp126,4421568
2032,2,ssp126,2826859
2032,3,ssp126,288881
2032,4,ssp126,1458178
2033,1,ssp126,4522163
2033,2,ssp126,2954707
2033,3,ssp126,265812
