year,state,GrowingSea,scenario
1974,AL,236.34356876416197,nclimgrid
1975,AL,238.02440515513305,nclimgrid
1976,AL,232.5167011125057,nclimgrid
1977,AL,236.21882864216457,nclimgrid
1978,AL,243.23934829352007,nclimgrid
1979,AL,231.5807664934233,nclimgrid
1980,AL,246.7761556837675,nclimgrid
1981,AL,238.54129460611023,nclimgrid
1982,AL,223.21015782508033,nclimgrid
1983,AL,218.21232179310073,nclimgrid
1984,AL,236.54074394182018,nclimgrid
1985,AL,255.36975218800225,nclimgrid
1986,AL,233.5976502678496,nclimgrid
1987,AL,209.05174405154477,nclimgrid
1988,AL,244.6782447894044,nclimgrid
1989,AL,215.0962653911168,nclimgrid
1990,AL,243.2394977954521,nclimgrid
1991,AL,234.33093443069237,nclimgrid
1992,AL,235.78536576057792,nclimgrid
1993,AL,219.93676136910724,nclimgrid
1994,AL,259.1721621991046,nclimgrid
1995,AL,244.65829890044174,nclimgrid
1996,AL,228.8097589462861,nclimgrid
1997,AL,255.18177123984447,nclimgrid
1998,AL,252.1982123951649,nclimgrid
1999,AL,235.93161721758673,nclimgrid
2000,AL,226.5412840737743,nclimgrid
2001,AL,240.39689799993704,nclimgrid
2002,AL,244.39414035630958,nclimgrid
2003,AL,235.60488293599224,nclimgrid
2004,AL,263.8429541737558,nclimgrid
2005,AL,249.37894563125883,nclimgrid
2006,AL,233.14534428072687,nclimgrid
2007,AL,230.25322589342113,nclimgrid
2008,AL,216.3919981154735,nclimgrid
2009,AL,249.93660975745317,nclimgrid
2010,AL,244.24780288941747,nclimgrid
2011,AL,255.99670539225963,nclimgrid
2012,AL,268.7127344449835,nclimgrid
2013,AL,222.96480582842077,nclimgrid
2014,AL,222.3398027386485,nclimgrid
2015,AL,252.09457869423653,nclimgrid
2016,AL,266.51678203479463,nclimgrid
2017,AL,248.1733174763147,nclimgrid
2018,AL,247.00336939757668,nclimgrid
2019,AL,240.64328322096705,nclimgrid
2020,AL,NA,nclimgrid
2021,AL,NA,nclimgrid
2022,AL,NA,nclimgrid
2023,AL,NA,nclimgrid
2024,AL,NA,nclimgrid
2025,AL,NA,nclimgrid
2026,AL,NA,nclimgrid
2027,AL,NA,nclimgrid
2028,AL,NA,nclimgrid
2029,AL,NA,nclimgrid
2030,AL,NA,nclimgrid
2031,AL,NA,nclimgrid
2032,AL,NA,nclimgrid
2033,AL,NA,nclimgrid
2034,AL,NA,nclimgrid
2035,AL,NA,nclimgrid
2036,AL,NA,nclimgrid
2037,AL,NA,nclimgrid
2038,AL,NA,nclimgrid
2039,AL,NA,nclimgrid
2040,AL,NA,nclimgrid
2041,AL,NA,nclimgrid
2042,AL,NA,nclimgrid
2043,AL,NA,nclimgrid
2044,AL,NA,nclimgrid
2045,AL,NA,nclimgrid
2046,AL,NA,nclimgrid
2047,AL,NA,nclimgrid
2048,AL,NA,nclimgrid
2049,AL,NA,nclimgrid
2050,AL,NA,nclimgrid
2051,AL,NA,nclimgrid
2052,AL,NA,nclimgrid
2053,AL,NA,nclimgrid
2054,AL,NA,nclimgrid
2055,AL,NA,nclimgrid
2056,AL,NA,nclimgrid
2057,AL,NA,nclimgrid
2058,AL,NA,nclimgrid
2059,AL,NA,nclimgrid
2060,AL,NA,nclimgrid
2061,AL,NA,nclimgrid
2062,AL,NA,nclimgrid
2063,AL,NA,nclimgrid
2064,AL,NA,nclimgrid
2065,AL,NA,nclimgrid
2066,AL,NA,nclimgrid
2067,AL,NA,nclimgrid
2068,AL,NA,nclimgrid
2069,AL,NA,nclimgrid
2070,AL,NA,nclimgrid
2071,AL,NA,nclimgrid
2072,AL,NA,nclimgrid
2073,AL,NA,nclimgrid
2074,AL,NA,nclimgrid
2075,AL,NA,nclimgrid
2076,AL,NA,nclimgrid
2077,AL,NA,nclimgrid
2078,AL,NA,nclimgrid
2079,AL,NA,nclimgrid
2080,AL,NA,nclimgrid
2081,AL,NA,nclimgrid
2082,AL,NA,nclimgrid
2083,AL,NA,nclimgrid
2084,AL,NA,nclimgrid
2085,AL,NA,nclimgrid
2086,AL,NA,nclimgrid
2087,AL,NA,nclimgrid
2088,AL,NA,nclimgrid
2089,AL,NA,nclimgrid
2090,AL,NA,nclimgrid
2091,AL,NA,nclimgrid
2092,AL,NA,nclimgrid
2093,AL,NA,nclimgrid
2094,AL,NA,nclimgrid
2095,AL,NA,nclimgrid
2096,AL,NA,nclimgrid
2097,AL,NA,nclimgrid
2098,AL,NA,nclimgrid
2099,AL,NA,nclimgrid
2100,AL,NA,nclimgrid
1950,GA,NA,nclimgrid
1951,GA,228.89130828142902,nclimgrid
1952,GA,228.76031335425233,nclimgrid
1953,GA,238.11773045922598,nclimgrid
1954,GA,225.45467829366163,nclimgrid
1955,GA,217.95441318545022,nclimgrid
1956,GA,228.143763136377,nclimgrid
