year,state,GrowingSea,scenario
1953,CO,132.1215723558701,ssp245
1954,CO,129.25551010272545,ssp245
1955,CO,132.4408149110828,ssp245
1956,CO,131.4670302962505,ssp245
1957,CO,132.60601295029463,ssp245
1958,CO,133.59451315663352,ssp245
1959,CO,134.28886003331795,ssp245
1960,CO,132.46736096759813,ssp245
1961,CO,133.50303884311853,ssp245
1962,CO,130.37834505724487,ssp245
1963,CO,135.53951213925336,ssp245
1964,CO,130.6775159874578,ssp245
1965,CO,128.5124022142996,ssp245
1966,CO,130.70937449959072,ssp245
1967,CO,131.6926010454081,ssp245
1968,CO,129.3628472589258,ssp245
1969,CO,128.49930235813792,ssp245
1970,CO,132.40349797287286,ssp245
1971,CO,127.88854329943005,ssp245
1972,CO,129.30750306168,ssp245
1973,CO,130.28957926467018,ssp245
1974,CO,131.71270478074987,ssp245
1975,CO,130.43370611581932,ssp245
1976,CO,129.8120763385253,ssp245
1977,CO,136.43458585412827,ssp245
1978,CO,132.83470552848814,ssp245
1979,CO,133.98453254057205,ssp245
1980,CO,133.58914922524366,ssp245
1981,CO,133.23876923404484,ssp245
1982,CO,133.92768409729823,ssp245
1983,CO,123.775972669771,ssp245
1984,CO,133.05736181261122,ssp245
1985,CO,136.62269442379687,ssp245
1986,CO,129.55110410799958,ssp245
1987,CO,131.9638314400365,ssp245
1988,CO,132.86345451733504,ssp245
1989,CO,132.25655227005942,ssp245
1990,CO,138.7326371730988,ssp245
1991,CO,134.732519104829,ssp245
1992,CO,130.03717898960198,ssp245
1993,CO,127.65921929570635,ssp245
1994,CO,133.71476605176665,ssp245
1995,CO,134.953713952875,ssp245
1996,CO,141.96077529095717,ssp245
1997,CO,137.02057173491062,ssp245
1998,CO,140.07315427611448,ssp245
1999,CO,136.02139992556337,ssp245
2000,CO,139.04923952940698,ssp245
2001,CO,136.50315922808468,ssp245
2002,CO,141.43958011164193,ssp245
2003,CO,141.08009889030032,ssp245
2004,CO,141.36216576464946,ssp245
2005,CO,143.96640417160972,ssp245
2006,CO,146.88359337377875,ssp245
2007,CO,141.2156505886844,ssp245
2008,CO,141.50596318246784,ssp245
2009,CO,140.3196267004411,ssp245
2010,CO,140.5867726115347,ssp245
2011,CO,140.74568721940184,ssp245
2012,CO,145.67600504705854,ssp245
2013,CO,142.37245221554096,ssp245
2014,CO,144.6460120573053,ssp245
2015,CO,144.02285142428127,ssp245
2016,CO,144.83343754527917,ssp245
2017,CO,149.40926149318545,ssp245
2018,CO,152.3727320308296,ssp245
2019,CO,150.32324069688084,ssp245
2020,CO,147.847777212016,ssp245
2021,CO,146.84954548305527,ssp245
2022,CO,145.70066710380945,ssp245
2023,CO,147.8544131754239,ssp245
2024,CO,149.07699244631954,ssp245
2025,CO,143.4416374069342,ssp245
2026,CO,152.5286149580221,ssp245
2027,CO,153.45772146431344,ssp245
2028,CO,151.95478780666286,ssp245
2029,CO,151.85724493168985,ssp245
2030,CO,155.24717672603447,ssp245
2031,CO,153.32879733914794,ssp245
2032,CO,150.53914884274556,ssp245
2033,CO,158.46577403748833,ssp245
2034,CO,150.76280407057237,ssp245
2035,CO,151.87489057844095,ssp245
2036,CO,151.54370614809082,ssp245
2037,CO,152.38102859771422,ssp245
2038,CO,153.9438164659881,ssp245
2039,CO,152.53598717446692,ssp245
2040,CO,154.678296545962,ssp245
2041,CO,154.44938664428003,ssp245
2042,CO,154.29856842985234,ssp245
2043,CO,153.92169190759495,ssp245
2044,CO,159.64228872856017,ssp245
2045,CO,157.47839351808466,ssp245
2046,CO,154.5318936408248,ssp245
2047,CO,158.44705737312094,ssp245
2048,CO,158.33978462154195,ssp245
2049,CO,161.3981365591259,ssp245
2050,CO,163.2127918113134,ssp245
2051,CO,160.93833732409163,ssp245
2052,CO,155.78290959294924,ssp245
2053,CO,157.17399241807934,ssp245
2054,CO,158.93384586669296,ssp245
2055,CO,157.71605070737053,ssp245
2056,CO,164.1237070778251,ssp245
2057,CO,162.3899997508438,ssp245
2058,CO,159.93622999109934,ssp245
2059,CO,163.1966711526144,ssp245
2060,CO,163.66639259791316,ssp245
2061,CO,163.38826773385682,ssp245
2062,CO,164.29410415631048,ssp245
2063,CO,158.7706353451652,ssp245
2064,CO,161.08806119560597,ssp245
2065,CO,164.13617092553875,ssp245
2066,CO,164.42188014220537,ssp245
2067,CO,166.07755392603661,ssp245
2068,CO,164.79224903294406,ssp245
2069,CO,161.92342920569925,ssp245
2070,CO,159.5544165755792,ssp245
2071,CO,162.6104502994613,ssp245
2072,CO,163.7222305890715,ssp245
2073,CO,161.73254704993346,ssp245
2074,CO,163.91790982394295,ssp245
2075,CO,160.03983948738343,ssp245
2076,CO,163.55989657324074,ssp245
2077,CO,165.95586979342755,ssp245
2078,CO,169.236731057852,ssp245
2079,CO,162.61987119520643,ssp245
2080,CO,166.2514956325363,ssp245
2081,CO,165.88175051058698,ssp245
2082,CO,164.89481983115348,ssp245
2083,CO,164.1536278962698,ssp245
2084,CO,165.1336831924466,ssp245
2085,CO,165.5011239044289,ssp245
2086,CO,169.16506998660265,ssp245
2087,CO,166.60533261436797,ssp245
2088,CO,162.56316537551976,ssp245
2089,CO,169.2924411963609,ssp245
2090,CO,164.63009641904526,ssp245
2091,CO,166.3703204582668,ssp245
2092,CO,168.6729044815858,ssp245
2093,CO,167.32683845574388,ssp245
2094,CO,169.1914704998613,ssp245
2095,CO,169.48372081936503,ssp245
2096,CO,171.18326132990563,ssp245
2097,CO,167.6887082614232,ssp245
2098,CO,163.77762203965773,ssp245
2099,CO,166.40670821327404,ssp245
2100,CO,169.30551106222848,ssp245
1950,UT,157.24067815002675,ssp245
1951,UT,153.17174790281197,ssp245
1952,UT,152.97922467933492,ssp245
1953,UT,149.77001851721172,ssp245
1954,UT,148.47866469546568,ssp245
1955,UT,151.40424522213976,ssp245
1956,UT,151.20086033399022,ssp245
1957,UT,149.23021860870702,ssp245
1958,UT,153.8949408077044,ssp245
1959,UT,153.16341883992865,ssp245
1960,UT,151.40205936724226,ssp245
1961,UT,153.10951353825604,ssp245
1962,UT,149.51013623524,ssp245
1963,UT,151.047841779347,ssp245
1964,UT,147.19726008984603,ssp245
1965,UT,147.0586739257413,ssp245
1966,UT,149.27188400571143,ssp245
1967,UT,147.98059377207213,ssp245
1968,UT,147.80096886563194,ssp245
1969,UT,146.38270026693803,ssp245
1970,UT,147.0576596203452,ssp245
1971,UT,149.02033275512608,ssp245
1972,UT,148.62619881492355,ssp245
1973,UT,150.69597917123644,ssp245
1974,UT,151.74249646975025,ssp245
1975,UT,152.91979652388076,ssp245
1976,UT,145.62498625318355,ssp245
1977,UT,155.05372887532013,ssp245
1978,UT,150.11685570518165,ssp245
1979,UT,151.8853594501158,ssp245
1980,UT,151.45627861976803,ssp245
1981,UT,152.13973829245734,ssp245
1982,UT,154.00677449717395,ssp245
1983,UT,142.4035746518388,ssp245
1984,UT,152.58871422654846,ssp245
1985,UT,153.0227565014175,ssp245
1986,UT,149.1996172264202,ssp245
1987,UT,149.24044773763848,ssp245
1988,UT,148.2891195731112,ssp245
1989,UT,150.53435974205016,ssp245
1990,UT,155.5155378351634,ssp245
1991,UT,158.19225901153808,ssp245
1992,UT,151.78730339174487,ssp245
1993,UT,147.98538011786277,ssp245
1994,UT,154.2196333505728,ssp245
1995,UT,152.86255821545748,ssp245
1996,UT,161.634180009371,ssp245
1997,UT,156.56432661304444,ssp245
1998,UT,156.8225390679286,ssp245
1999,UT,155.78046938255727,ssp245
2000,UT,157.78486314101124,ssp245
2001,UT,158.73984292490334,ssp245
2002,UT,160.11274576092939,ssp245
2003,UT,159.33640661894356,ssp245
2004,UT,161.6371164443034,ssp245
2005,UT,163.4380710970987,ssp245
2006,UT,163.62341103494418,ssp245
2007,UT,162.39522434197332,ssp245
2008,UT,162.34564947897948,ssp245
2009,UT,157.01480918198286,ssp245
2010,UT,158.7908381878817,ssp245
2011,UT,161.42636638584727,ssp245
2012,UT,165.7318214803777,ssp245
2013,UT,166.75759032098455,ssp245
2014,UT,165.9363986435279,ssp245
2015,UT,164.58667663255602,ssp245
2016,UT,164.55866116653823,ssp245
2017,UT,170.1248136670156,ssp245
2018,UT,173.1216867753859,ssp245
2019,UT,167.91382370972732,ssp245
2020,UT,167.08595885587698,ssp245
2021,UT,166.27784025539083,ssp245
2022,UT,165.58780520114198,ssp245
2023,UT,166.05429477685414,ssp245
2024,UT,169.19585492391312,ssp245
2025,UT,163.29431595317448,ssp245
2026,UT,173.17281811867366,ssp245
2027,UT,172.43481663728386,ssp245
2028,UT,171.08615458313238,ssp245
2029,UT,174.35177331810618,ssp245
2030,UT,172.97716121620599,ssp245
2031,UT,173.42070744975842,ssp245
2032,UT,169.09585872319943,ssp245
2033,UT,176.58603525764653,ssp245
2034,UT,173.50032702637134,ssp245
2035,UT,171.18756744475127,ssp245
2036,UT,171.78540265939253,ssp245
2037,UT,177.9168838476486,ssp245
2038,UT,175.95527879483288,ssp245
2039,UT,174.62135398776002,ssp245
2040,UT,174.38532983245656,ssp245
2041,UT,176.8014606243345,ssp245
2042,UT,174.2355388609383,ssp245
2043,UT,175.5963389727747,ssp245
2044,UT,179.08261949729754,ssp245
2045,UT,177.5292897461113,ssp245
2046,UT,175.95246709402437,ssp245
2047,UT,178.20961738385355,ssp245
2048,UT,179.05220030242998,ssp245
2049,UT,184.77025082054493,ssp245
2050,UT,184.4562479400291,ssp245
2051,UT,178.48528371175232,ssp245
2052,UT,178.81106585222912,ssp245
2053,UT,182.54890355176772,ssp245
2054,UT,180.6147591462849,ssp245
2055,UT,178.86442744020195,ssp245
2056,UT,187.37804718854758,ssp245
2057,UT,183.35386687042154,ssp245
2058,UT,181.5129933446842,ssp245
2059,UT,186.9702817541669,ssp245
2060,UT,187.61495807591032,ssp245
2061,UT,184.86937796790528,ssp245
2062,UT,187.4226483391874,ssp245
2063,UT,182.2843714675651,ssp245
2064,UT,186.99518441314848,ssp245
2065,UT,187.71597323785753,ssp245
2066,UT,190.29944913881573,ssp245
2067,UT,187.20358577902488,ssp245
2068,UT,187.56092999636772,ssp245
2069,UT,183.36342878450893,ssp245
2070,UT,182.43916965756225,ssp245
2071,UT,186.01818436793636,ssp245
2072,UT,189.85666655984244,ssp245
2073,UT,189.46438433409415,ssp245
2074,UT,190.3436884939037,ssp245
2075,UT,181.8236077381391,ssp245
2076,UT,184.74362795445256,ssp245
2077,UT,189.1782153263861,ssp245
2078,UT,189.73428561136416,ssp245
2079,UT,190.85127738315475,ssp245
2080,UT,187.5842027788892,ssp245
2081,UT,189.06243708304126,ssp245
2082,UT,190.15255689203113,ssp245
2083,UT,186.6138013264527,ssp245
2084,UT,192.93877304052003,ssp245
2085,UT,188.60825903502098,ssp245
2086,UT,195.06792848614498,ssp245
2087,UT,191.61712975241937,ssp245
2088,UT,188.92444746795277,ssp245
2089,UT,193.62954812939455,ssp245
2090,UT,194.21306210165685,ssp245
2091,UT,188.22676488412867,ssp245
2092,UT,192.61861236751224,ssp245
2093,UT,188.6235845659228,ssp245
2094,UT,196.7988979414518,ssp245
2095,UT,196.56754004482573,ssp245
2096,UT,195.08204495242822,ssp245
2097,UT,193.57024223321335,ssp245
2098,UT,188.98010822864876,ssp245
2099,UT,190.22492180263268,ssp245
2100,UT,195.12443380630722,ssp245
1950,OK,212.38187080477866,ssp245
1951,OK,214.44709102694208,ssp245
1952,OK,206.6060247877334,ssp245
1953,OK,208.57134189313564,ssp245
1954,OK,211.15615423323248,ssp245
1955,OK,213.09275797052075,ssp245
1956,OK,216.71473170528836,ssp245
1957,OK,210.47084714077758,ssp245
1958,OK,208.06992163900358,ssp245
1959,OK,204.66856482754932,ssp245
1960,OK,212.46872974251312,ssp245
1961,OK,215.13041121716105,ssp245
1962,OK,213.91561687326865,ssp245
1963,OK,205.48557999116312,ssp245
1964,OK,208.2128732958329,ssp245
1965,OK,205.07784310613445,ssp245
1966,OK,216.04614470684766,ssp245
1967,OK,210.1847771985566,ssp245
1968,OK,211.39919768474206,ssp245
1969,OK,209.83401632340158,ssp245
1970,OK,210.7798597443615,ssp245
1971,OK,211.19740183183467,ssp245
1972,OK,210.10228608940182,ssp245
1973,OK,211.61497683536138,ssp245
1974,OK,207.0082694170164,ssp245
1975,OK,213.67212792532487,ssp245
1976,OK,212.47375549907667,ssp245
1977,OK,210.37472512984758,ssp245
1978,OK,211.80359995754642,ssp245
1979,OK,217.7482239745038,ssp245
1980,OK,216.21526245670938,ssp245
1981,OK,208.2267522676174,ssp245
1982,OK,210.92678986318336,ssp245
1983,OK,202.62152055069728,ssp245
1984,OK,214.85761710124345,ssp245
1985,OK,214.20483883439786,ssp245
1986,OK,211.453172855364,ssp245
1987,OK,212.62460714667066,ssp245
1988,OK,214.57038821151363,ssp245
1989,OK,215.49796020004646,ssp245
1990,OK,211.81768393831513,ssp245
1991,OK,222.258907633063,ssp245
1992,OK,209.88142794922317,ssp245
1993,OK,209.85278012605895,ssp245
1994,OK,215.61576798153453,ssp245
1995,OK,211.5716749637616,ssp245
1996,OK,219.05460181316687,ssp245
1997,OK,215.40272396023488,ssp245
1998,OK,218.98940833973066,ssp245
1999,OK,215.3229714682008,ssp245
2000,OK,214.60894915754784,ssp245
2001,OK,218.43628567906362,ssp245
2002,OK,222.45204757900774,ssp245
2003,OK,216.87478533818904,ssp245
2004,OK,224.54401955657096,ssp245
2005,OK,218.48150448356225,ssp245
2006,OK,222.52217122533824,ssp245
2007,OK,222.23446641405368,ssp245
2008,OK,224.05696101268205,ssp245
2009,OK,223.32027233697062,ssp245
2010,OK,219.00644429091923,ssp245
2011,OK,222.65696447449716,ssp245
2012,OK,219.03237304383308,ssp245
2013,OK,224.70235573678906,ssp245
2014,OK,219.29800539493317,ssp245
2015,OK,220.53162161448455,ssp245
2016,OK,222.8944903263591,ssp245
2017,OK,227.76692887551508,ssp245
2018,OK,228.5238820644061,ssp245
2019,OK,218.7588805273683,ssp245
2020,OK,218.57025978894865,ssp245
2021,OK,222.15714871555423,ssp245
2022,OK,220.07798593769922,ssp245
2023,OK,225.7287277096966,ssp245
2024,OK,228.04026767750298,ssp245
2025,OK,225.80733743988418,ssp245
2026,OK,229.30606371365727,ssp245
2027,OK,232.71641450065724,ssp245
2028,OK,224.19573603020874,ssp245
2029,OK,224.32551069527182,ssp245
2030,OK,229.13886418314448,ssp245
2031,OK,231.70057400986565,ssp245
2032,OK,236.2190561777984,ssp245
2033,OK,231.729670134599,ssp245
2034,OK,231.1827674985466,ssp245
2035,OK,231.41753540269843,ssp245
2036,OK,227.6244617248924,ssp245
2037,OK,226.94183114427022,ssp245
2038,OK,234.00882440530438,ssp245
2039,OK,230.19072728663812,ssp245
2040,OK,233.76236122066243,ssp245
2041,OK,234.47289381395797,ssp245
2042,OK,229.4334126673204,ssp245
2043,OK,228.05691283446552,ssp245
2044,OK,238.01240593603345,ssp245
2045,OK,233.48093228488827,ssp245
2046,OK,235.17531578966268,ssp245
2047,OK,231.46051169640535,ssp245
2048,OK,238.16399075280913,ssp245
2049,OK,238.23167847588041,ssp245
2050,OK,239.2802266721777,ssp245
2051,OK,235.52427727022535,ssp245
2052,OK,238.52585816169986,ssp245
2053,OK,236.44392539637707,ssp245
2054,OK,231.58337842735293,ssp245
2055,OK,234.48868207921797,ssp245
2056,OK,237.05052021882696,ssp245
2057,OK,239.4300889081627,ssp245
2058,OK,241.37211706735965,ssp245
2059,OK,237.0709813464644,ssp245
2060,OK,235.77822394981553,ssp245
2061,OK,233.020120386159,ssp245
2062,OK,234.74425718573772,ssp245
2063,OK,238.45156641430887,ssp245
2064,OK,233.9741500083975,ssp245
2065,OK,239.4797905663361,ssp245
2066,OK,237.8668202463831,ssp245
2067,OK,237.7021478551048,ssp245
2068,OK,240.63809303316506,ssp245
2069,OK,237.33284426992378,ssp245
2070,OK,239.90461060319228,ssp245
2071,OK,238.81385224269832,ssp245
2072,OK,234.88518413181762,ssp245
2073,OK,237.45154348662555,ssp245
2074,OK,246.12499299836668,ssp245
2075,OK,242.24928391420545,ssp245
2076,OK,238.35996850043276,ssp245
2077,OK,236.31426685119453,ssp245
2078,OK,239.1253319054089,ssp245
2079,OK,247.41001395177057,ssp245
2080,OK,236.62272542360395,ssp245
2081,OK,236.47641760980454,ssp245
2082,OK,241.73563969792758,ssp245
2083,OK,238.31353861048166,ssp245
2084,OK,243.68165907638948,ssp245
2085,OK,242.1334371479785,ssp245
2086,OK,244.23684288217692,ssp245
2087,OK,243.32758791577626,ssp245
2088,OK,246.11627204454828,ssp245
2089,OK,238.7141146951389,ssp245
2090,OK,243.5888019038109,ssp245
2091,OK,242.32707834471273,ssp245
2092,OK,238.64504903272388,ssp245
2093,OK,240.1159454270236,ssp245
2094,OK,246.72642257155195,ssp245
2095,OK,242.1819469045625,ssp245
2096,OK,245.4318903247388,ssp245
2097,OK,242.87715791994242,ssp245
2098,OK,245.03718469218043,ssp245
2099,OK,244.32875554786182,ssp245
2100,OK,246.06044663250157,ssp245
1950,TN,195.17031234272932,ssp245
1951,TN,192.7316297691907,ssp245
1952,TN,193.4074360743895,ssp245
1953,TN,190.6320515264616,ssp245
1954,TN,196.06103550050565,ssp245
1955,TN,196.55207997371423,ssp245
1956,TN,203.1175990622044,ssp245
1957,TN,191.14188622875974,ssp245
1958,TN,190.88149443235886,ssp245
1959,TN,186.06418563792835,ssp245
1960,TN,198.3925403171015,ssp245
1961,TN,198.0577459993852,ssp245
1962,TN,195.87185755917235,ssp245
1963,TN,192.56968461727976,ssp245
1964,TN,191.4449010529535,ssp245
1965,TN,189.42492820169585,ssp245
1966,TN,199.58438031950956,ssp245
1967,TN,196.15450554932605,ssp245
1968,TN,193.88820491196145,ssp245
1969,TN,195.22618513736802,ssp245
1970,TN,191.8155331862898,ssp245
1971,TN,195.7977346436435,ssp245
1972,TN,201.14706240843066,ssp245
1973,TN,199.97116162293332,ssp245
1974,TN,190.68185815442715,ssp245
1975,TN,197.64020776081608,ssp245
1976,TN,195.66328379829687,ssp245
1977,TN,194.9309283028455,ssp245
1978,TN,198.56455078313994,ssp245
1979,TN,199.03406744110208,ssp245
1980,TN,199.24356525748902,ssp245
1981,TN,193.22677671471908,ssp245
1982,TN,194.80663712311747,ssp245
1983,TN,190.00807956417356,ssp245
1984,TN,196.511301269032,ssp245
1985,TN,195.83204952055615,ssp245
1986,TN,196.00954427889897,ssp245
1987,TN,199.09270798876543,ssp245
1988,TN,201.02922300564532,ssp245
1989,TN,205.07462068595348,ssp245
1990,TN,198.2198595087574,ssp245
1991,TN,199.65146120314319,ssp245
1992,TN,198.17839610865346,ssp245
1993,TN,196.82844893405144,ssp245
1994,TN,202.49201232487627,ssp245
1995,TN,200.82501688155108,ssp245
1996,TN,203.07194198631393,ssp245
1997,TN,202.7714200612703,ssp245
1998,TN,204.27843466381222,ssp245
1999,TN,197.2864650574349,ssp245
2000,TN,197.746533537838,ssp245
2001,TN,204.21192079027992,ssp245
2002,TN,207.2462331825827,ssp245
2003,TN,198.62070801977865,ssp245
2004,TN,210.20230370232773,ssp245
2005,TN,206.516657180444,ssp245
2006,TN,204.55536783803203,ssp245
2007,TN,204.92809656352438,ssp245
2008,TN,207.32563527892253,ssp245
2009,TN,210.078578394856,ssp245
2010,TN,208.07422852040395,ssp245
2011,TN,207.16949363555696,ssp245
2012,TN,203.8912217890318,ssp245
2013,TN,208.51330601001723,ssp245
2014,TN,203.50321503806003,ssp245
2015,TN,203.06862510616648,ssp245
2016,TN,209.0675722233164,ssp245
2017,TN,213.32401161904605,ssp245
2018,TN,209.3409242136832,ssp245
2019,TN,207.52192458371664,ssp245
2020,TN,208.91779864378861,ssp245
2021,TN,202.00082191315616,ssp245
2022,TN,202.18043590607402,ssp245
2023,TN,215.1842775598527,ssp245
2024,TN,211.4495825469487,ssp245
2025,TN,210.17523087979657,ssp245
2026,TN,211.963948727999,ssp245
2027,TN,220.901913477635,ssp245
2028,TN,213.31350271618382,ssp245
2029,TN,207.9138605326366,ssp245
2030,TN,217.81206922554472,ssp245
2031,TN,212.53075095678108,ssp245
2032,TN,221.63917139403918,ssp245
2033,TN,216.76822959432246,ssp245
2034,TN,215.14551191646734,ssp245
2035,TN,213.56368912245418,ssp245
2036,TN,219.0456563311328,ssp245
2037,TN,211.29363078251797,ssp245
2038,TN,219.79193857624244,ssp245
2039,TN,212.98390704802966,ssp245
2040,TN,218.10502591019068,ssp245
2041,TN,220.76329156568167,ssp245
2042,TN,215.1535231157965,ssp245
2043,TN,217.4734181849902,ssp245
2044,TN,215.67290344897071,ssp245
2045,TN,224.84728414496016,ssp245
2046,TN,220.44278618444508,ssp245
2047,TN,215.3149147126965,ssp245
2048,TN,223.59667301954065,ssp245
2049,TN,221.1108391288699,ssp245
2050,TN,224.03751577557017,ssp245
2051,TN,224.70004918946694,ssp245
2052,TN,224.3461701112516,ssp245
2053,TN,220.1258945365843,ssp245
2054,TN,217.88590880207832,ssp245
2055,TN,222.64755184291795,ssp245
2056,TN,227.8403061625567,ssp245
2057,TN,223.74076620896506,ssp245
2058,TN,227.98637202558695,ssp245
2059,TN,225.5409054573893,ssp245
2060,TN,221.46601169800658,ssp245
2061,TN,221.70362957440682,ssp245
2062,TN,221.02746508257758,ssp245
2063,TN,223.16302734167107,ssp245
2064,TN,219.4584799902065,ssp245
2065,TN,224.29069164730834,ssp245
2066,TN,223.91048893213545,ssp245
2067,TN,223.66297405864117,ssp245
2068,TN,230.01585072741042,ssp245
2069,TN,225.5195146480181,ssp245
2070,TN,217.95557738245046,ssp245
2071,TN,224.51054911816794,ssp245
2072,TN,221.71865892506216,ssp245
2073,TN,225.03300939489097,ssp245
2074,TN,223.1726395484726,ssp245
2075,TN,229.02207119899066,ssp245
2076,TN,230.45281214732847,ssp245
2077,TN,224.2352773734084,ssp245
2078,TN,232.96237357680158,ssp245
2079,TN,231.95595289991184,ssp245
2080,TN,224.4179255707208,ssp245
2081,TN,223.8949527873793,ssp245
2082,TN,226.83771900054037,ssp245
2083,TN,230.7411755537063,ssp245
2084,TN,234.07122116074498,ssp245
2085,TN,231.58192496922038,ssp245
2086,TN,233.37004231179193,ssp245
2087,TN,229.97832367376932,ssp245
2088,TN,226.44708934276687,ssp245
2089,TN,224.66005893018806,ssp245
2090,TN,231.99220840952904,ssp245
2091,TN,229.57299854541725,ssp245
2092,TN,222.109576661836,ssp245
2093,TN,228.78514878370217,ssp245
2094,TN,232.0903428771702,ssp245
2095,TN,225.60827565761178,ssp245
2096,TN,232.08349831432784,ssp245
2097,TN,227.57800038626877,ssp245
2098,TN,235.70269128715555,ssp245
2099,TN,230.5038396256639,ssp245
2100,TN,232.3356069761046,ssp245
1950,WY,109.17213981666154,ssp245
1951,WY,105.69609820569869,ssp245
1952,WY,108.74673650278862,ssp245
1953,WY,104.82276907058316,ssp245
1954,WY,104.36035400114757,ssp245
1955,WY,112.08395766545566,ssp245
1956,WY,108.4525020940667,ssp245
1957,WY,109.6146255345008,ssp245
1958,WY,109.56128647476449,ssp245
1959,WY,106.8894029054792,ssp245
1960,WY,107.91253528008788,ssp245
1961,WY,110.58177930298545,ssp245
1962,WY,106.3050585291255,ssp245
1963,WY,107.57438558973402,ssp245
1964,WY,105.34926063666609,ssp245
1965,WY,104.46232132935192,ssp245
1966,WY,108.24838736852652,ssp245
1967,WY,106.51317963627446,ssp245
1968,WY,105.51040547491222,ssp245
1969,WY,101.53891526816102,ssp245
1970,WY,104.32045509363299,ssp245
1971,WY,100.61813795022321,ssp245
1972,WY,104.71803198847962,ssp245
1973,WY,105.39584982861679,ssp245
1974,WY,106.32848965118899,ssp245
1975,WY,108.19563177151565,ssp245
1976,WY,105.59426040259669,ssp245
1977,WY,115.18886142275217,ssp245
1978,WY,108.37057836770393,ssp245
1979,WY,109.28733020224878,ssp245
1980,WY,111.65955854800501,ssp245
1981,WY,111.98819868179756,ssp245
1982,WY,109.86654629591771,ssp245
1983,WY,99.22192345664638,ssp245
1984,WY,109.29926177007731,ssp245
1985,WY,111.53145688703874,ssp245
1986,WY,107.35216106531942,ssp245
1987,WY,109.14293667526876,ssp245
1988,WY,107.70371652199594,ssp245
1989,WY,108.09092739885081,ssp245
1990,WY,117.39633403976755,ssp245
1991,WY,110.08151545531756,ssp245
1992,WY,107.40478320596375,ssp245
1993,WY,105.06096474755357,ssp245
1994,WY,112.0059699910389,ssp245
1995,WY,112.84595441971177,ssp245
1996,WY,119.00060958015095,ssp245
1997,WY,115.91967329559455,ssp245
1998,WY,112.52831424643931,ssp245
1999,WY,112.54955118749416,ssp245
2000,WY,116.44073352859364,ssp245
2001,WY,115.29307418677078,ssp245
2002,WY,121.94203962726762,ssp245
2003,WY,119.39973646253638,ssp245
2004,WY,119.62168255758995,ssp245
2005,WY,121.09286955288917,ssp245
2006,WY,123.21076505909966,ssp245
2007,WY,118.14972107527025,ssp245
2008,WY,118.20843504619842,ssp245
2009,WY,117.8781296773126,ssp245
2010,WY,115.41780118295247,ssp245
2011,WY,122.03326073791389,ssp245
2012,WY,119.85314147658254,ssp245
2013,WY,124.03434568275327,ssp245
2014,WY,126.12159180377098,ssp245
2015,WY,120.36327539605647,ssp245
2016,WY,125.76942531119204,ssp245
2017,WY,126.6419933836633,ssp245
2018,WY,129.12776713419876,ssp245
2019,WY,127.5080960976194,ssp245
2020,WY,127.4564248416227,ssp245
2021,WY,126.42017547361505,ssp245
2022,WY,128.01819567943005,ssp245
2023,WY,129.25515731007053,ssp245
2024,WY,127.55957414559853,ssp245
2025,WY,124.10818913175758,ssp245
2026,WY,133.07209532682873,ssp245
2027,WY,130.8463458075882,ssp245
2028,WY,128.84532116027816,ssp245
2029,WY,131.84721605930585,ssp245
2030,WY,131.77527550292055,ssp245
2031,WY,131.07387313005412,ssp245
2032,WY,129.77312450459044,ssp245
2033,WY,134.10172613224586,ssp245
2034,WY,132.1577906787825,ssp245
2035,WY,130.12084127219924,ssp245
2036,WY,129.93496276087205,ssp245
2037,WY,135.5230188706388,ssp245
2038,WY,130.70373890587257,ssp245
2039,WY,133.46891258836214,ssp245
2040,WY,133.7837379042072,ssp245
2041,WY,131.29846397255756,ssp245
2042,WY,134.93777640800266,ssp245
2043,WY,131.56213954797389,ssp245
2044,WY,137.1411194314468,ssp245
2045,WY,136.38805354646027,ssp245
2046,WY,132.13907239654395,ssp245
2047,WY,137.34319514043455,ssp245
2048,WY,136.59080637595912,ssp245
2049,WY,137.82947174172193,ssp245
2050,WY,142.02237873554802,ssp245
2051,WY,138.4340467637463,ssp245
2052,WY,132.78422908626013,ssp245
2053,WY,138.92919851736744,ssp245
2054,WY,133.97556773789293,ssp245
2055,WY,137.45602142462397,ssp245
2056,WY,142.44914020967755,ssp245
2057,WY,142.56823889587682,ssp245
2058,WY,138.6941955074468,ssp245
2059,WY,141.6453852332939,ssp245
2060,WY,143.88048007493364,ssp245
2061,WY,141.6187780304235,ssp245
2062,WY,140.4998468738404,ssp245
2063,WY,139.63744691385628,ssp245
2064,WY,142.455678862293,ssp245
2065,WY,142.7983594319286,ssp245
2066,WY,145.3972720927764,ssp245
2067,WY,145.09944122101783,ssp245
2068,WY,139.30179060386584,ssp245
2069,WY,143.80050021718364,ssp245
2070,WY,139.43458015684814,ssp245
2071,WY,143.05813358584166,ssp245
2072,WY,142.20206371280062,ssp245
2073,WY,139.05756771385333,ssp245
2074,WY,138.3266450472362,ssp245
2075,WY,139.63587008085355,ssp245
2076,WY,143.81130913495912,ssp245
2077,WY,146.0824427320602,ssp245
2078,WY,147.92943675097595,ssp245
2079,WY,141.33410675312933,ssp245
2080,WY,146.40148544474826,ssp245
2081,WY,143.8407242139191,ssp245
2082,WY,145.40007829241898,ssp245
2083,WY,143.62438008589365,ssp245
2084,WY,145.04294527147883,ssp245
2085,WY,143.84737613909067,ssp245
