,year,avg_mam_temp_f,scenario,model
135,2085,52.48613162371937,ssp126,bcc-csm2-mr
136,2086,50.56743121784489,ssp126,bcc-csm2-mr
137,2087,51.03184207337327,ssp126,bcc-csm2-mr
138,2088,54.34140330000014,ssp126,bcc-csm2-mr
139,2089,55.134905429159176,ssp126,bcc-csm2-mr
140,2090,52.72725540996765,ssp126,bcc-csm2-mr
141,2091,50.46638315450249,ssp126,bcc-csm2-mr
142,2092,54.9777927320313,ssp126,bcc-csm2-mr
143,2093,52.26058064460337,ssp126,bcc-csm2-mr
144,2094,53.19036891264062,ssp126,bcc-csm2-mr
145,2095,52.43528699076274,ssp126,bcc-csm2-mr
146,2096,52.12798303916838,ssp126,bcc-csm2-mr
147,2097,55.128049841370476,ssp126,bcc-csm2-mr
148,2098,53.281276722553315,ssp126,bcc-csm2-mr
149,2099,53.98236991259584,ssp126,bcc-csm2-mr
150,2100,51.88274344212765,ssp126,bcc-csm2-mr
0,1950,51.92751059498841,ssp126,noresm2-lm
1,1951,51.00075039662997,ssp126,noresm2-lm
2,1952,49.483531635162244,ssp126,noresm2-lm
3,1953,49.36508411425452,ssp126,noresm2-lm
4,1954,51.70712989446078,ssp126,noresm2-lm
5,1955,50.056201793361325,ssp126,noresm2-lm
6,1956,51.73620135916849,ssp126,noresm2-lm
7,1957,53.67969037270119,ssp126,noresm2-lm
8,1958,49.41104134446052,ssp126,noresm2-lm
9,1959,49.48978679420123,ssp126,noresm2-lm
10,1960,51.722539694744164,ssp126,noresm2-lm
11,1961,49.38671847352615,ssp126,noresm2-lm
12,1962,48.95874919939008,ssp126,noresm2-lm
13,1963,47.907337795377195,ssp126,noresm2-lm
14,1964,46.220595535098404,ssp126,noresm2-lm
15,1965,49.20899531333221,ssp126,noresm2-lm
16,1966,47.56029192985708,ssp126,noresm2-lm
17,1967,48.29274754212466,ssp126,noresm2-lm
18,1968,50.52560352304206,ssp126,noresm2-lm
19,1969,49.66728769515942,ssp126,noresm2-lm
20,1970,51.338865413305726,ssp126,noresm2-lm
21,1971,49.052218917349165,ssp126,noresm2-lm
22,1972,49.97293051323773,ssp126,noresm2-lm
23,1973,48.78198656614553,ssp126,noresm2-lm
24,1974,49.311738247084065,ssp126,noresm2-lm
25,1975,53.279104183724854,ssp126,noresm2-lm
26,1976,49.75012158448013,ssp126,noresm2-lm
27,1977,47.97619363561338,ssp126,noresm2-lm
28,1978,48.874560125005054,ssp126,noresm2-lm
29,1979,49.48736130456851,ssp126,noresm2-lm
30,1980,48.289799983282734,ssp126,noresm2-lm
31,1981,49.85030563214587,ssp126,noresm2-lm
32,1982,49.04463172993587,ssp126,noresm2-lm
33,1983,46.83873726593213,ssp126,noresm2-lm
34,1984,50.806685987387056,ssp126,noresm2-lm
35,1985,51.23373422959148,ssp126,noresm2-lm
36,1986,47.86132078520938,ssp126,noresm2-lm
37,1987,50.466178077345965,ssp126,noresm2-lm
38,1988,52.73847791145205,ssp126,noresm2-lm
39,1989,50.168323020609186,ssp126,noresm2-lm
40,1990,47.480039103295944,ssp126,noresm2-lm
41,1991,51.11065747240852,ssp126,noresm2-lm
42,1992,47.95694777734162,ssp126,noresm2-lm
43,1993,51.209430250599105,ssp126,noresm2-lm
44,1994,50.624933024846676,ssp126,noresm2-lm
45,1995,49.94389640457176,ssp126,noresm2-lm
46,1996,50.99516287199893,ssp126,noresm2-lm
47,1997,49.51594603704716,ssp126,noresm2-lm
48,1998,52.03245786742027,ssp126,noresm2-lm
49,1999,50.40465175625955,ssp126,noresm2-lm
50,2000,50.53109583084842,ssp126,noresm2-lm
51,2001,51.34825056717706,ssp126,noresm2-lm
52,2002,49.94277109198923,ssp126,noresm2-lm
53,2003,50.06227810963107,ssp126,noresm2-lm
54,2004,50.33412495875274,ssp126,noresm2-lm
55,2005,48.43787215701284,ssp126,noresm2-lm
56,2006,51.1055187216659,ssp126,noresm2-lm
57,2007,52.52088938309676,ssp126,noresm2-lm
58,2008,51.053928297123015,ssp126,noresm2-lm
59,2009,50.67343150104451,ssp126,noresm2-lm
60,2010,49.64159419514363,ssp126,noresm2-lm
61,2011,52.93102728007626,ssp126,noresm2-lm
62,2012,52.18054345076577,ssp126,noresm2-lm
63,2013,51.740962425382335,ssp126,noresm2-lm
64,2014,50.556228205582194,ssp126,noresm2-lm
65,2015,52.38164608299833,ssp126,noresm2-lm
66,2016,49.4330870873755,ssp126,noresm2-lm
67,2017,52.61318511807142,ssp126,noresm2-lm
68,2018,54.1138843001389,ssp126,noresm2-lm
69,2019,51.28642932901601,ssp126,noresm2-lm
70,2020,49.100257483327894,ssp126,noresm2-lm
71,2021,51.30778106751179,ssp126,noresm2-lm
72,2022,54.069762861740436,ssp126,noresm2-lm
73,2023,52.605936693556096,ssp126,noresm2-lm
74,2024,54.805475519794555,ssp126,noresm2-lm
75,2025,52.7228701193734,ssp126,noresm2-lm
76,2026,51.43953578671444,ssp126,noresm2-lm
77,2027,51.552241493318526,ssp126,noresm2-lm
78,2028,54.761394098527894,ssp126,noresm2-lm
79,2029,52.89133882085957,ssp126,noresm2-lm
80,2030,51.18727577265089,ssp126,noresm2-lm
81,2031,51.81027323010305,ssp126,noresm2-lm
82,2032,51.514912504444695,ssp126,noresm2-lm
83,2033,54.20757329129691,ssp126,noresm2-lm
84,2034,55.040221502241415,ssp126,noresm2-lm
85,2035,52.825385673530306,ssp126,noresm2-lm
86,2036,53.838466384547324,ssp126,noresm2-lm
87,2037,52.99672891455091,ssp126,noresm2-lm
88,2038,52.35505689797678,ssp126,noresm2-lm
89,2039,53.34804901739982,ssp126,noresm2-lm
90,2040,54.40670458109332,ssp126,noresm2-lm
91,2041,54.206656130241164,ssp126,noresm2-lm
92,2042,55.172470582622054,ssp126,noresm2-lm
93,2043,49.993752751288305,ssp126,noresm2-lm
94,2044,55.389894913897066,ssp126,noresm2-lm
95,2045,52.78315650623746,ssp126,noresm2-lm
96,2046,55.57073810267312,ssp126,noresm2-lm
97,2047,53.63195427409874,ssp126,noresm2-lm
98,2048,51.166511611169916,ssp126,noresm2-lm
99,2049,53.92138579593167,ssp126,noresm2-lm
100,2050,55.91344162773567,ssp126,noresm2-lm
101,2051,55.67599210733227,ssp126,noresm2-lm
102,2052,56.647645626628595,ssp126,noresm2-lm
103,2053,52.50714492679785,ssp126,noresm2-lm
104,2054,50.7965047013181,ssp126,noresm2-lm
105,2055,53.348950502607664,ssp126,noresm2-lm
106,2056,53.032054213545436,ssp126,noresm2-lm
107,2057,51.31393835031634,ssp126,noresm2-lm
108,2058,53.91318096090553,ssp126,noresm2-lm
109,2059,52.76305887446065,ssp126,noresm2-lm
110,2060,51.74706752528696,ssp126,noresm2-lm
111,2061,55.96706490140772,ssp126,noresm2-lm
112,2062,54.04260358348755,ssp126,noresm2-lm
113,2063,53.479325211223134,ssp126,noresm2-lm
114,2064,51.3071096227506,ssp126,noresm2-lm
115,2065,55.53022233074245,ssp126,noresm2-lm
116,2066,54.03125898521012,ssp126,noresm2-lm
117,2067,53.62566194723227,ssp126,noresm2-lm
118,2068,55.2089069279426,ssp126,noresm2-lm
119,2069,54.227443315415364,ssp126,noresm2-lm
120,2070,54.97417754593932,ssp126,noresm2-lm
121,2071,54.6235234703134,ssp126,noresm2-lm
122,2072,57.29837843983807,ssp126,noresm2-lm
123,2073,56.83987936655172,ssp126,noresm2-lm
124,2074,54.03761921484533,ssp126,noresm2-lm
125,2075,51.782056539073935,ssp126,noresm2-lm
126,2076,54.139626531827425,ssp126,noresm2-lm
127,2077,54.7712585981263,ssp126,noresm2-lm
128,2078,56.11508888007722,ssp126,noresm2-lm
129,2079,52.585563904321944,ssp126,noresm2-lm
130,2080,53.4691820314157,ssp126,noresm2-lm
131,2081,51.921461914605445,ssp126,noresm2-lm
132,2082,53.158737935907304,ssp126,noresm2-lm
133,2083,49.91556081197065,ssp126,noresm2-lm
134,2084,51.48552814273665,ssp126,noresm2-lm
135,2085,56.27064075505388,ssp126,noresm2-lm
136,2086,56.531876977276866,ssp126,noresm2-lm
137,2087,52.0607777465843,ssp126,noresm2-lm
138,2088,55.469568277289554,ssp126,noresm2-lm
139,2089,52.55540719832266,ssp126,noresm2-lm
140,2090,53.29129879854095,ssp126,noresm2-lm
141,2091,54.62128025826189,ssp126,noresm2-lm
142,2092,55.76150410840505,ssp126,noresm2-lm
143,2093,55.129186479886464,ssp126,noresm2-lm
144,2094,50.845826816147486,ssp126,noresm2-lm
145,2095,51.48541621607686,ssp126,noresm2-lm
146,2096,53.01413842665472,ssp126,noresm2-lm
147,2097,54.919554266331396,ssp126,noresm2-lm
148,2098,53.38881304954984,ssp126,noresm2-lm
149,2099,52.80795035338533,ssp126,noresm2-lm
150,2100,50.57550867259492,ssp126,noresm2-lm
0,1950,50.690771039298745,ssp126,mpi-esm1-2-hr
1,1951,48.35061317134691,ssp126,mpi-esm1-2-hr
2,1952,46.31061883245803,ssp126,mpi-esm1-2-hr
3,1953,49.21252119548499,ssp126,mpi-esm1-2-hr
4,1954,49.723346599356475,ssp126,mpi-esm1-2-hr
5,1955,50.37209097748986,ssp126,mpi-esm1-2-hr
6,1956,51.290422210815436,ssp126,mpi-esm1-2-hr
7,1957,48.858854268962176,ssp126,mpi-esm1-2-hr
8,1958,48.771292156261914,ssp126,mpi-esm1-2-hr
9,1959,49.98127890449143,ssp126,mpi-esm1-2-hr
10,1960,49.05151903468877,ssp126,mpi-esm1-2-hr
11,1961,47.539521631114326,ssp126,mpi-esm1-2-hr
12,1962,50.290089323579274,ssp126,mpi-esm1-2-hr
13,1963,48.2314054491114,ssp126,mpi-esm1-2-hr
14,1964,53.22798286152462,ssp126,mpi-esm1-2-hr
15,1965,50.943116161862925,ssp126,mpi-esm1-2-hr
16,1966,49.500994263019244,ssp126,mpi-esm1-2-hr
17,1967,50.16616506774799,ssp126,mpi-esm1-2-hr
18,1968,51.32774556893131,ssp126,mpi-esm1-2-hr
19,1969,48.41221726886751,ssp126,mpi-esm1-2-hr
20,1970,50.274666954081916,ssp126,mpi-esm1-2-hr
21,1971,47.37359970449644,ssp126,mpi-esm1-2-hr
22,1972,50.319620077153104,ssp126,mpi-esm1-2-hr
23,1973,50.715302385925824,ssp126,mpi-esm1-2-hr
24,1974,49.43092209212911,ssp126,mpi-esm1-2-hr
25,1975,49.114466902190806,ssp126,mpi-esm1-2-hr
26,1976,49.8794183308606,ssp126,mpi-esm1-2-hr
27,1977,51.33302823861859,ssp126,mpi-esm1-2-hr
28,1978,48.62741457708053,ssp126,mpi-esm1-2-hr
29,1979,50.43206274465026,ssp126,mpi-esm1-2-hr
30,1980,50.88638518438264,ssp126,mpi-esm1-2-hr
31,1981,49.127973182796936,ssp126,mpi-esm1-2-hr
32,1982,50.64711101155537,ssp126,mpi-esm1-2-hr
33,1983,47.49401127229736,ssp126,mpi-esm1-2-hr
34,1984,49.185379056480784,ssp126,mpi-esm1-2-hr
35,1985,47.49709187349845,ssp126,mpi-esm1-2-hr
36,1986,48.5727401129607,ssp126,mpi-esm1-2-hr
37,1987,50.292746327030116,ssp126,mpi-esm1-2-hr
38,1988,51.02436642858167,ssp126,mpi-esm1-2-hr
39,1989,52.07229350593067,ssp126,mpi-esm1-2-hr
40,1990,49.947750882835756,ssp126,mpi-esm1-2-hr
41,1991,50.62069315574912,ssp126,mpi-esm1-2-hr
42,1992,50.8999603674543,ssp126,mpi-esm1-2-hr
43,1993,49.64513695350274,ssp126,mpi-esm1-2-hr
44,1994,49.92788848490704,ssp126,mpi-esm1-2-hr
45,1995,50.29659837565183,ssp126,mpi-esm1-2-hr
46,1996,49.73982137860541,ssp126,mpi-esm1-2-hr
47,1997,51.59456430352591,ssp126,mpi-esm1-2-hr
48,1998,50.33542018833658,ssp126,mpi-esm1-2-hr
49,1999,50.41727838072329,ssp126,mpi-esm1-2-hr
50,2000,49.75895937105672,ssp126,mpi-esm1-2-hr
51,2001,49.82978496328628,ssp126,mpi-esm1-2-hr
52,2002,53.462766899338455,ssp126,mpi-esm1-2-hr
53,2003,51.40050818029634,ssp126,mpi-esm1-2-hr
54,2004,50.562041091730855,ssp126,mpi-esm1-2-hr
55,2005,51.14827461209356,ssp126,mpi-esm1-2-hr
56,2006,48.55033122248092,ssp126,mpi-esm1-2-hr
57,2007,52.13219146763036,ssp126,mpi-esm1-2-hr
58,2008,52.074583602176084,ssp126,mpi-esm1-2-hr
59,2009,51.31882438317598,ssp126,mpi-esm1-2-hr
60,2010,51.35426510781626,ssp126,mpi-esm1-2-hr
61,2011,48.1150254659729,ssp126,mpi-esm1-2-hr
62,2012,52.58665114939963,ssp126,mpi-esm1-2-hr
63,2013,51.246150953650556,ssp126,mpi-esm1-2-hr
64,2014,49.26711068570865,ssp126,mpi-esm1-2-hr
65,2015,54.91214671310404,ssp126,mpi-esm1-2-hr
66,2016,53.19756947751001,ssp126,mpi-esm1-2-hr
67,2017,49.14594017319114,ssp126,mpi-esm1-2-hr
68,2018,52.405102572158256,ssp126,mpi-esm1-2-hr
69,2019,53.262951484927335,ssp126,mpi-esm1-2-hr
70,2020,54.83218435532024,ssp126,mpi-esm1-2-hr
71,2021,53.61529327081327,ssp126,mpi-esm1-2-hr
72,2022,53.749495821805965,ssp126,mpi-esm1-2-hr
73,2023,52.01663016960906,ssp126,mpi-esm1-2-hr
74,2024,52.314821525777795,ssp126,mpi-esm1-2-hr
75,2025,53.55472507466449,ssp126,mpi-esm1-2-hr
76,2026,51.097701907153,ssp126,mpi-esm1-2-hr
77,2027,50.810016488140384,ssp126,mpi-esm1-2-hr
78,2028,51.2199855277147,ssp126,mpi-esm1-2-hr
79,2029,50.13162433479622,ssp126,mpi-esm1-2-hr
80,2030,52.386588104145716,ssp126,mpi-esm1-2-hr
81,2031,52.670297439735265,ssp126,mpi-esm1-2-hr
82,2032,51.967949943249266,ssp126,mpi-esm1-2-hr
83,2033,51.726514961102296,ssp126,mpi-esm1-2-hr
84,2034,51.22617024624434,ssp126,mpi-esm1-2-hr
85,2035,54.63370516690558,ssp126,mpi-esm1-2-hr
86,2036,51.71640908782322,ssp126,mpi-esm1-2-hr
87,2037,53.65010007467012,ssp126,mpi-esm1-2-hr
88,2038,53.421453975896256,ssp126,mpi-esm1-2-hr
