,year,av_temp,scenario
72,2022,34.127737188216386,ssp245
73,2023,34.31594400078455,ssp245
74,2024,32.83718625765625,ssp245
75,2025,34.004152764751886,ssp245
76,2026,33.21632888821077,ssp245
77,2027,34.385291724515085,ssp245
78,2028,34.569206319325,ssp245
79,2029,33.44135548105697,ssp245
80,2030,34.44132539660284,ssp245
81,2031,34.37714954917277,ssp245
82,2032,34.18063774510008,ssp245
83,2033,34.81030766288652,ssp245
84,2034,35.02161870308505,ssp245
85,2035,34.36591950633397,ssp245
86,2036,35.04696629064052,ssp245
87,2037,34.29160177457355,ssp245
88,2038,34.52677080406592,ssp245
89,2039,34.891494289019214,ssp245
90,2040,35.25640210649401,ssp245
91,2041,34.50664819302288,ssp245
92,2042,34.41422374481715,ssp245
93,2043,34.76384139571515,ssp245
94,2044,34.886755862536766,ssp245
95,2045,35.9780802219739,ssp245
96,2046,34.91407322352174,ssp245
97,2047,35.27564815654983,ssp245
98,2048,34.987462443909195,ssp245
99,2049,35.79486763840925,ssp245
100,2050,36.050179437580454,ssp245
101,2051,34.68132405620836,ssp245
102,2052,35.65024541761354,ssp245
103,2053,35.546268532396084,ssp245
104,2054,36.27853273255649,ssp245
105,2055,35.5400416895629,ssp245
106,2056,36.14032963796499,ssp245
107,2057,35.59001880841158,ssp245
108,2058,36.162444669518585,ssp245
109,2059,36.30195842706058,ssp245
110,2060,36.21568965761324,ssp245
111,2061,35.017250141275234,ssp245
112,2062,35.98698334621126,ssp245
113,2063,36.830077760073095,ssp245
114,2064,36.41641954242671,ssp245
115,2065,35.52311671476991,ssp245
116,2066,35.63068574646122,ssp245
117,2067,35.90109849096593,ssp245
118,2068,36.45887731402927,ssp245
119,2069,36.22616645117512,ssp245
120,2070,36.090352898310165,ssp245
121,2071,36.692219472309,ssp245
122,2072,37.063258205052556,ssp245
123,2073,36.70658917801537,ssp245
124,2074,35.55063521385342,ssp245
125,2075,35.479467741533774,ssp245
126,2076,36.31126955776773,ssp245
127,2077,37.294466436194085,ssp245
128,2078,37.298880471476174,ssp245
129,2079,36.50297392430154,ssp245
130,2080,36.849391681329635,ssp245
131,2081,36.852624219804966,ssp245
132,2082,37.30333045333299,ssp245
133,2083,37.362944758695356,ssp245
134,2084,37.10161143260516,ssp245
135,2085,36.7374587989621,ssp245
136,2086,37.0641475414478,ssp245
137,2087,36.76225447123393,ssp245
138,2088,35.9073054622561,ssp245
139,2089,36.66428814726398,ssp245
140,2090,37.33841419207892,ssp245
141,2091,36.75182529981585,ssp245
142,2092,37.65887110021842,ssp245
143,2093,37.09693972697184,ssp245
144,2094,37.002288747154886,ssp245
145,2095,37.25499894526452,ssp245
146,2096,37.25888808539701,ssp245
147,2097,37.29385195435974,ssp245
148,2098,37.53502569163453,ssp245
149,2099,37.76141117739286,ssp245
150,2100,37.63321962628246,ssp245
0,1950,,ssp370
1,1951,31.485831001043532,ssp370
2,1952,29.623198524880916,ssp370
3,1953,30.446244451481913,ssp370
4,1954,30.777332038866533,ssp370
5,1955,30.971568383383524,ssp370
6,1956,30.294514478335394,ssp370
7,1957,31.6831430338701,ssp370
8,1958,31.40630787301702,ssp370
9,1959,31.149307817056332,ssp370
10,1960,30.931018402165034,ssp370
11,1961,31.7610532065573,ssp370
12,1962,30.463373671653393,ssp370
13,1963,30.385712896065023,ssp370
14,1964,30.521393245125665,ssp370
15,1965,30.200488357049974,ssp370
16,1966,30.613720613614085,ssp370
17,1967,30.25919280946715,ssp370
18,1968,30.767801173547923,ssp370
19,1969,30.28257526290664,ssp370
20,1970,30.606438774991656,ssp370
21,1971,31.75305044514518,ssp370
22,1972,32.34092441736582,ssp370
23,1973,30.644436430752595,ssp370
24,1974,29.169050860600304,ssp370
25,1975,30.506550723594668,ssp370
26,1976,30.708963627495663,ssp370
27,1977,30.471794215026495,ssp370
28,1978,31.294600418819993,ssp370
29,1979,30.940214885672937,ssp370
30,1980,31.59064628280023,ssp370
31,1981,30.972352179266057,ssp370
32,1982,32.080733593606446,ssp370
33,1983,30.501483223012833,ssp370
34,1984,30.339522245735623,ssp370
35,1985,30.792824828260382,ssp370
36,1986,30.963157854682976,ssp370
37,1987,31.1179139450658,ssp370
38,1988,31.3544225143007,ssp370
39,1989,31.485594337949223,ssp370
40,1990,31.029170076492953,ssp370
41,1991,31.719781895653696,ssp370
42,1992,31.290994897805255,ssp370
43,1993,30.997495195674542,ssp370
44,1994,31.178513502067677,ssp370
45,1995,30.847360846922054,ssp370
46,1996,31.084475712471953,ssp370
47,1997,31.643350490182936,ssp370
48,1998,31.234486042019128,ssp370
49,1999,31.996703937740616,ssp370
50,2000,32.36128155631687,ssp370
51,2001,31.635667063754234,ssp370
52,2002,31.99999050998123,ssp370
53,2003,31.926246472565385,ssp370
54,2004,31.756664793616565,ssp370
55,2005,32.279176451202325,ssp370
56,2006,33.596791142126165,ssp370
57,2007,31.367603401529145,ssp370
58,2008,32.66313571658706,ssp370
59,2009,32.229224906246095,ssp370
60,2010,32.69884876996256,ssp370
61,2011,32.75386382096942,ssp370
62,2012,32.03102050405854,ssp370
63,2013,31.68247434362562,ssp370
64,2014,32.55292357148827,ssp370
65,2015,33.213276066234094,ssp370
66,2016,32.655899181639846,ssp370
67,2017,33.04728671256405,ssp370
68,2018,33.122036749107906,ssp370
69,2019,33.0709180673334,ssp370
70,2020,33.00273903665467,ssp370
71,2021,33.19961507307517,ssp370
72,2022,33.818832302343885,ssp370
73,2023,33.252381613510785,ssp370
74,2024,33.61819431466715,ssp370
75,2025,33.903859401398364,ssp370
76,2026,34.141687278451656,ssp370
77,2027,33.49991089394569,ssp370
78,2028,33.66049172803595,ssp370
79,2029,32.711723784468475,ssp370
80,2030,34.64912167338329,ssp370
81,2031,35.003308333202355,ssp370
82,2032,33.625954708104366,ssp370
83,2033,33.70736929948722,ssp370
84,2034,34.91082055217822,ssp370
85,2035,34.1065693056925,ssp370
86,2036,34.84385849011329,ssp370
87,2037,33.99575209341089,ssp370
88,2038,33.52992368584419,ssp370
89,2039,34.40718828590531,ssp370
90,2040,35.432573628749175,ssp370
91,2041,33.56568258336373,ssp370
92,2042,35.04722305504601,ssp370
93,2043,34.734450848134095,ssp370
94,2044,35.04651335484507,ssp370
95,2045,35.37502370520236,ssp370
96,2046,35.78968155564558,ssp370
97,2047,34.557183134711245,ssp370
98,2048,34.7929046440565,ssp370
99,2049,36.07488908372193,ssp370
100,2050,35.22792442706685,ssp370
101,2051,35.67919965366559,ssp370
102,2052,36.144355006159635,ssp370
