year,state,av_temp,scenario
2081,KY,58.21,ssp126
2082,KY,58.57,ssp126
2083,KY,57.87,ssp126
2084,KY,58.58,ssp126
2085,KY,58.68,ssp126
2086,KY,59.32,ssp126
2087,KY,58.06,ssp126
2088,KY,58.67,ssp126
2089,KY,58.37,ssp126
2090,KY,58.33,ssp126
2091,KY,58.55,ssp126
2092,KY,59.13,ssp126
2093,KY,58.63,ssp126
2094,KY,58.18,ssp126
2095,KY,58.77,ssp126
2096,KY,58.18,ssp126
2097,KY,58.69,ssp126
2098,KY,57.57,ssp126
2099,KY,57.6,ssp126
2100,KY,57.61,ssp126
1950,AL,63.17,ssp126
1951,AL,61.96,ssp126
1952,AL,62.51,ssp126
1953,AL,61.93,ssp126
1954,AL,61.81,ssp126
1955,AL,62.93,ssp126
1956,AL,63.9,ssp126
1957,AL,62.16,ssp126
1958,AL,62.43,ssp126
1959,AL,62.33,ssp126
1960,AL,62.26,ssp126
1961,AL,62.7,ssp126
1962,AL,62.07,ssp126
1963,AL,62.47,ssp126
1964,AL,62.45,ssp126
1965,AL,61.3,ssp126
1966,AL,62.32,ssp126
1967,AL,62.46,ssp126
1968,AL,62.47,ssp126
1969,AL,61.69,ssp126
1970,AL,63.14,ssp126
1971,AL,62.44,ssp126
1972,AL,62.72,ssp126
1973,AL,62.12,ssp126
1974,AL,62.43,ssp126
1975,AL,62.79,ssp126
1976,AL,62.2,ssp126
1977,AL,62.59,ssp126
1978,AL,62.91,ssp126
1979,AL,63.17,ssp126
1980,AL,62.7,ssp126
1981,AL,62.97,ssp126
1982,AL,62.17,ssp126
1983,AL,61.61,ssp126
1984,AL,62.53,ssp126
1985,AL,62.51,ssp126
1986,AL,61.96,ssp126
1987,AL,63.02,ssp126
1988,AL,63.48,ssp126
1989,AL,63.29,ssp126
1990,AL,62.79,ssp126
1991,AL,63.18,ssp126
1992,AL,61.93,ssp126
1993,AL,62.65,ssp126
1994,AL,62.01,ssp126
1995,AL,62.85,ssp126
1996,AL,62.94,ssp126
1997,AL,62.83,ssp126
1998,AL,63.35,ssp126
1999,AL,63.22,ssp126
2000,AL,63.58,ssp126
2001,AL,63.3,ssp126
2002,AL,63.63,ssp126
2003,AL,63.01,ssp126
2004,AL,63.49,ssp126
2005,AL,63.59,ssp126
2006,AL,64.59,ssp126
2007,AL,65,ssp126
2008,AL,63.87,ssp126
2009,AL,64.07,ssp126
2010,AL,63.64,ssp126
2011,AL,64.12,ssp126
2012,AL,64.03,ssp126
2013,AL,63.7,ssp126
2014,AL,63.72,ssp126
2015,AL,64.93,ssp126
2016,AL,64.18,ssp126
2017,AL,64.15,ssp126
2018,AL,64.9,ssp126
2019,AL,64.5,ssp126
2020,AL,64.55,ssp126
2021,AL,64.24,ssp126
2022,AL,64.71,ssp126
2023,AL,65.55,ssp126
2024,AL,64.79,ssp126
2025,AL,64.59,ssp126
2026,AL,64.8,ssp126
2027,AL,65.54,ssp126
2028,AL,66.15,ssp126
2029,AL,64.61,ssp126
2030,AL,65.73,ssp126
2031,AL,65.29,ssp126
2032,AL,65.35,ssp126
2033,AL,64.42,ssp126
2034,AL,65.28,ssp126
2035,AL,65.51,ssp126
2036,AL,65.46,ssp126
2037,AL,64.99,ssp126
2038,AL,65.87,ssp126
2039,AL,65.27,ssp126
2040,AL,66.05,ssp126
2041,AL,65.57,ssp126
2042,AL,66.08,ssp126
2043,AL,65.24,ssp126
2044,AL,65.69,ssp126
2045,AL,65.55,ssp126
2046,AL,65.6,ssp126
2047,AL,64.78,ssp126
2048,AL,66.58,ssp126
2049,AL,65.11,ssp126
2050,AL,65.12,ssp126
2051,AL,65.66,ssp126
2052,AL,65.84,ssp126
2053,AL,66.08,ssp126
2054,AL,65.29,ssp126
2055,AL,66.29,ssp126
2056,AL,65.26,ssp126
2057,AL,65.47,ssp126
2058,AL,65.99,ssp126
2059,AL,66.36,ssp126
2060,AL,66.07,ssp126
2061,AL,66.13,ssp126
2062,AL,66.09,ssp126
2063,AL,65.87,ssp126
2064,AL,66.52,ssp126
2065,AL,67.05,ssp126
2066,AL,66.14,ssp126
2067,AL,65.88,ssp126
2068,AL,66.85,ssp126
2069,AL,65.53,ssp126
2070,AL,65.83,ssp126
2071,AL,66.05,ssp126
2072,AL,66.32,ssp126
2073,AL,65.65,ssp126
2074,AL,66.43,ssp126
2075,AL,65.92,ssp126
2076,AL,65.45,ssp126
2077,AL,66.74,ssp126
2078,AL,65.25,ssp126
2079,AL,65.6,ssp126
2080,AL,66.32,ssp126
2081,AL,65.92,ssp126
2082,AL,65.73,ssp126
2083,AL,65.34,ssp126
2084,AL,66.19,ssp126
2085,AL,65.87,ssp126
2086,AL,66.29,ssp126
2087,AL,65.51,ssp126
2088,AL,65.94,ssp126
2089,AL,65.75,ssp126
2090,AL,65.72,ssp126
2091,AL,65.82,ssp126
2092,AL,66.12,ssp126
2093,AL,65.93,ssp126
2094,AL,65.52,ssp126
2095,AL,65.82,ssp126
2096,AL,65.83,ssp126
2097,AL,65.83,ssp126
2098,AL,65.04,ssp126
2099,AL,64.88,ssp126
2100,AL,65.17,ssp126
1950,GA,63.56,ssp126
1951,GA,62.55,ssp126
1952,GA,62.91,ssp126
1953,GA,62.22,ssp126
1954,GA,62.08,ssp126
1955,GA,63.28,ssp126
1956,GA,64.2,ssp126
1957,GA,62.45,ssp126
1958,GA,62.8,ssp126
1959,GA,62.82,ssp126
1960,GA,62.7,ssp126
1961,GA,63.09,ssp126
1962,GA,62.38,ssp126
1963,GA,62.82,ssp126
1964,GA,62.78,ssp126
1965,GA,61.7,ssp126
1966,GA,62.79,ssp126
1967,GA,62.82,ssp126
1968,GA,62.73,ssp126
1969,GA,62.07,ssp126
1970,GA,63.43,ssp126
1971,GA,62.7,ssp126
1972,GA,63.02,ssp126
1973,GA,62.54,ssp126
1974,GA,62.9,ssp126
1975,GA,63.34,ssp126
1976,GA,62.64,ssp126
1977,GA,62.96,ssp126
1978,GA,63.25,ssp126
1979,GA,63.42,ssp126
1980,GA,63.25,ssp126
1981,GA,63.42,ssp126
1982,GA,62.55,ssp126
1983,GA,62.01,ssp126
1984,GA,62.91,ssp126
1985,GA,63.04,ssp126
1986,GA,62.27,ssp126
1987,GA,63.41,ssp126
1988,GA,63.84,ssp126
1989,GA,63.6,ssp126
1990,GA,63.25,ssp126
1991,GA,63.63,ssp126
1992,GA,62.35,ssp126
1993,GA,63.04,ssp126
1994,GA,62.26,ssp126
1995,GA,63.43,ssp126
1996,GA,63.47,ssp126
1997,GA,63.26,ssp126
1998,GA,63.65,ssp126
1999,GA,63.61,ssp126
2000,GA,63.97,ssp126
2001,GA,63.78,ssp126
2002,GA,63.89,ssp126
2003,GA,63.39,ssp126
2004,GA,63.77,ssp126
2005,GA,63.88,ssp126
2006,GA,64.76,ssp126
2007,GA,65.35,ssp126
2008,GA,64.26,ssp126
2009,GA,64.33,ssp126
2010,GA,64.08,ssp126
2011,GA,64.52,ssp126
2012,GA,64.38,ssp126
2013,GA,64.21,ssp126
2014,GA,64.18,ssp126
2015,GA,65.28,ssp126
2016,GA,64.51,ssp126
2017,GA,64.41,ssp126
2018,GA,65.11,ssp126
2019,GA,64.81,ssp126
2020,GA,64.99,ssp126
2021,GA,64.54,ssp126
2022,GA,65.07,ssp126
2023,GA,65.73,ssp126
2024,GA,65.12,ssp126
2025,GA,64.95,ssp126
2026,GA,65.04,ssp126
2027,GA,65.95,ssp126
2028,GA,66.42,ssp126
2029,GA,64.99,ssp126
2030,GA,66,ssp126
2031,GA,65.69,ssp126
2032,GA,65.7,ssp126
2033,GA,64.87,ssp126
2034,GA,65.65,ssp126
2035,GA,65.7,ssp126
2036,GA,65.73,ssp126
2037,GA,65.31,ssp126
2038,GA,66.13,ssp126
2039,GA,65.53,ssp126
2040,GA,66.35,ssp126
2041,GA,66.02,ssp126
2042,GA,66.38,ssp126
2043,GA,65.58,ssp126
2044,GA,65.99,ssp126
2045,GA,65.91,ssp126
2046,GA,65.96,ssp126
2047,GA,65.04,ssp126
2048,GA,66.73,ssp126
2049,GA,65.37,ssp126
2050,GA,65.33,ssp126
2051,GA,65.92,ssp126
2052,GA,66.13,ssp126
2053,GA,66.39,ssp126
2054,GA,65.69,ssp126
2055,GA,66.56,ssp126
2056,GA,65.61,ssp126
2057,GA,65.98,ssp126
2058,GA,66.43,ssp126
2059,GA,66.65,ssp126
2060,GA,66.4,ssp126
2061,GA,66.45,ssp126
2062,GA,66.42,ssp126
2063,GA,66.25,ssp126
2064,GA,66.74,ssp126
2065,GA,67.11,ssp126
2066,GA,66.42,ssp126
2067,GA,66.19,ssp126
2068,GA,67,ssp126
2069,GA,65.98,ssp126
2070,GA,66.12,ssp126
2071,GA,66.26,ssp126
2072,GA,66.55,ssp126
2073,GA,66.08,ssp126
2074,GA,66.66,ssp126
2075,GA,66.29,ssp126
2076,GA,65.9,ssp126
2077,GA,67.24,ssp126
2078,GA,65.65,ssp126
2079,GA,65.83,ssp126
2080,GA,66.7,ssp126
2081,GA,66.35,ssp126
2082,GA,65.91,ssp126
2083,GA,65.82,ssp126
2084,GA,66.59,ssp126
2085,GA,66.19,ssp126
2086,GA,66.45,ssp126
2087,GA,65.93,ssp126
2088,GA,66.29,ssp126
2089,GA,66.09,ssp126
2090,GA,65.95,ssp126
2091,GA,66.21,ssp126
2092,GA,66.45,ssp126
2093,GA,66.16,ssp126
2094,GA,65.94,ssp126
2095,GA,65.9,ssp126
2096,GA,66.08,ssp126
2097,GA,66.14,ssp126
2098,GA,65.3,ssp126
2099,GA,65.17,ssp126
2100,GA,65.6,ssp126
1950,AR,60.63,ssp126
1951,AR,59.55,ssp126
1952,AR,59.55,ssp126
1953,AR,59.53,ssp126
1954,AR,59.68,ssp126
1955,AR,60.54,ssp126
1956,AR,61.49,ssp126
1957,AR,60.13,ssp126
1958,AR,60.07,ssp126
1959,AR,59.83,ssp126
1960,AR,59.47,ssp126
1961,AR,60.05,ssp126
1962,AR,59.62,ssp126
1963,AR,60.08,ssp126
1964,AR,60.1,ssp126
1965,AR,58.96,ssp126
1966,AR,59.53,ssp126
1967,AR,60.24,ssp126
1968,AR,59.47,ssp126
1969,AR,59.16,ssp126
1970,AR,60.49,ssp126
1971,AR,60.28,ssp126
1972,AR,60.28,ssp126
1973,AR,59.7,ssp126
1974,AR,59.77,ssp126
1975,AR,60.14,ssp126
1976,AR,59.99,ssp126
1977,AR,60.16,ssp126
1978,AR,60.38,ssp126
1979,AR,60.99,ssp126
1980,AR,60.19,ssp126
1981,AR,60.32,ssp126
1982,AR,59.82,ssp126
1983,AR,58.68,ssp126
1984,AR,59.87,ssp126
1985,AR,59.81,ssp126
1986,AR,59.51,ssp126
1987,AR,60.29,ssp126
1988,AR,60.79,ssp126
1989,AR,60.91,ssp126
1990,AR,59.95,ssp126
1991,AR,60.53,ssp126
1992,AR,59.49,ssp126
1993,AR,60.35,ssp126
1994,AR,59.59,ssp126
1995,AR,60.44,ssp126
1996,AR,60.34,ssp126
1997,AR,60.59,ssp126
1998,AR,61.17,ssp126
1999,AR,60.89,ssp126
2000,AR,60.59,ssp126
2001,AR,61.13,ssp126
2002,AR,61.33,ssp126
2003,AR,60.69,ssp126
2004,AR,60.99,ssp126
2005,AR,61.36,ssp126
2006,AR,62.28,ssp126
2007,AR,62.65,ssp126
2008,AR,61.62,ssp126
2009,AR,61.64,ssp126
2010,AR,61.56,ssp126
2011,AR,61.91,ssp126
2012,AR,61.74,ssp126
2013,AR,61.34,ssp126
2014,AR,61.62,ssp126
2015,AR,62.31,ssp126
2016,AR,61.78,ssp126
