,year,avg_djf_temp_f,scenario,model
7,1957,30.21912786901821,ssp245,access-cm2
8,1958,30.522534134425516,ssp245,access-cm2
9,1959,28.687116090284302,ssp245,access-cm2
10,1960,27.87341043229905,ssp245,access-cm2
11,1961,36.091902370065,ssp245,access-cm2
12,1962,34.27639158780679,ssp245,access-cm2
13,1963,28.876278778129606,ssp245,access-cm2
14,1964,30.825396683971885,ssp245,access-cm2
15,1965,29.739629669126458,ssp245,access-cm2
16,1966,29.897593704828967,ssp245,access-cm2
17,1967,30.17235757657748,ssp245,access-cm2
18,1968,29.999783855812005,ssp245,access-cm2
19,1969,30.15923629502128,ssp245,access-cm2
20,1970,28.506833260128474,ssp245,access-cm2
21,1971,31.18670037883552,ssp245,access-cm2
22,1972,34.4997956528322,ssp245,access-cm2
23,1973,31.427592476053945,ssp245,access-cm2
24,1974,30.4138662666885,ssp245,access-cm2
25,1975,25.65536891275594,ssp245,access-cm2
26,1976,35.73453787846347,ssp245,access-cm2
27,1977,32.54104327669479,ssp245,access-cm2
28,1978,32.21079723437207,ssp245,access-cm2
29,1979,32.853833356882625,ssp245,access-cm2
30,1980,33.00068240164181,ssp245,access-cm2
31,1981,28.617096729541252,ssp245,access-cm2
32,1982,28.106853043847625,ssp245,access-cm2
33,1983,32.66857303092105,ssp245,access-cm2
34,1984,32.727291396245455,ssp245,access-cm2
35,1985,27.076339147587447,ssp245,access-cm2
36,1986,30.96364000601528,ssp245,access-cm2
37,1987,34.82738169854707,ssp245,access-cm2
38,1988,32.82171091998063,ssp245,access-cm2
39,1989,29.482074201082558,ssp245,access-cm2
40,1990,27.181640385336827,ssp245,access-cm2
41,1991,30.355010300539107,ssp245,access-cm2
42,1992,32.21030050772704,ssp245,access-cm2
43,1993,28.354641880651723,ssp245,access-cm2
44,1994,33.75149834791903,ssp245,access-cm2
45,1995,30.72408460046411,ssp245,access-cm2
46,1996,29.85136504564732,ssp245,access-cm2
47,1997,33.2139682936093,ssp245,access-cm2
48,1998,31.488485331365133,ssp245,access-cm2
49,1999,31.461007985111312,ssp245,access-cm2
50,2000,33.77787911855617,ssp245,access-cm2
51,2001,30.06817265454529,ssp245,access-cm2
52,2002,32.822127823938715,ssp245,access-cm2
53,2003,32.300043799253125,ssp245,access-cm2
54,2004,34.84015467852347,ssp245,access-cm2
55,2005,32.61341224204009,ssp245,access-cm2
56,2006,27.3365843752357,ssp245,access-cm2
57,2007,33.063675122832365,ssp245,access-cm2
58,2008,29.373769417594705,ssp245,access-cm2
59,2009,34.86890835695731,ssp245,access-cm2
60,2010,36.84245849717211,ssp245,access-cm2
61,2011,31.0351742091656,ssp245,access-cm2
62,2012,29.756053964081595,ssp245,access-cm2
63,2013,31.019874333392362,ssp245,access-cm2
64,2014,31.366194370072886,ssp245,access-cm2
65,2015,31.23051959293814,ssp245,access-cm2
66,2016,32.44581403930784,ssp245,access-cm2
67,2017,32.1599725483964,ssp245,access-cm2
68,2018,33.58764156422967,ssp245,access-cm2
69,2019,29.05144344056306,ssp245,access-cm2
70,2020,34.465681265664294,ssp245,access-cm2
71,2021,32.248278936921764,ssp245,access-cm2
72,2022,35.33622383856559,ssp245,access-cm2
73,2023,36.33744645644994,ssp245,access-cm2
74,2024,30.157644992428107,ssp245,access-cm2
75,2025,32.16639522567217,ssp245,access-cm2
76,2026,33.102233883310625,ssp245,access-cm2
77,2027,34.263025667090126,ssp245,access-cm2
78,2028,30.245370437042702,ssp245,access-cm2
79,2029,32.453450009412535,ssp245,access-cm2
80,2030,36.525666687043305,ssp245,access-cm2
81,2031,36.01015036784359,ssp245,access-cm2
82,2032,33.266373819566816,ssp245,access-cm2
83,2033,33.47549619582195,ssp245,access-cm2
84,2034,39.62875580223745,ssp245,access-cm2
85,2035,34.37103172229733,ssp245,access-cm2
86,2036,37.21040362181666,ssp245,access-cm2
87,2037,30.937299174560586,ssp245,access-cm2
88,2038,35.70828478590016,ssp245,access-cm2
89,2039,31.96944938549925,ssp245,access-cm2
90,2040,33.86674457262645,ssp245,access-cm2
91,2041,34.01875243590501,ssp245,access-cm2
92,2042,29.302190976634034,ssp245,access-cm2
93,2043,35.46693598489722,ssp245,access-cm2
94,2044,36.250614050644586,ssp245,access-cm2
95,2045,37.75267236744188,ssp245,access-cm2
96,2046,37.29484304485017,ssp245,access-cm2
97,2047,34.34574886298282,ssp245,access-cm2
98,2048,38.09673427448341,ssp245,access-cm2
99,2049,34.5168702937384,ssp245,access-cm2
100,2050,35.62973500069744,ssp245,access-cm2
101,2051,36.874980941588575,ssp245,access-cm2
102,2052,36.82925995977815,ssp245,access-cm2
103,2053,37.022775923594956,ssp245,access-cm2
104,2054,34.785418970198585,ssp245,access-cm2
105,2055,34.580498506598744,ssp245,access-cm2
106,2056,36.243936627818776,ssp245,access-cm2
107,2057,37.429188502191366,ssp245,access-cm2
108,2058,36.94027805105358,ssp245,access-cm2
109,2059,35.61649703317878,ssp245,access-cm2
110,2060,41.139608006091684,ssp245,access-cm2
111,2061,35.70760102360174,ssp245,access-cm2
112,2062,34.81496939252835,ssp245,access-cm2
113,2063,36.811039351998595,ssp245,access-cm2
114,2064,37.53986669299066,ssp245,access-cm2
115,2065,35.28071799625326,ssp245,access-cm2
116,2066,37.65859246737424,ssp245,access-cm2
117,2067,38.71400427031461,ssp245,access-cm2
118,2068,39.13084386853674,ssp245,access-cm2
119,2069,38.71470534700188,ssp245,access-cm2
120,2070,35.71345666241155,ssp245,access-cm2
121,2071,38.69105360631943,ssp245,access-cm2
122,2072,38.54563863951697,ssp245,access-cm2
123,2073,40.69110899584047,ssp245,access-cm2
124,2074,37.001088425309696,ssp245,access-cm2
125,2075,34.751404091457246,ssp245,access-cm2
126,2076,38.4294278758815,ssp245,access-cm2
127,2077,39.97357170432105,ssp245,access-cm2
128,2078,37.565042351320045,ssp245,access-cm2
129,2079,36.02785080992435,ssp245,access-cm2
