,year,avg_jja_temp_f,scenario,model
14,1964,70.17994382602765,hist,nclimgrid
15,1965,69.27991484226725,hist,nclimgrid
16,1966,70.43370604847135,hist,nclimgrid
17,1967,69.63793302431799,hist,nclimgrid
18,1968,69.7451348217228,hist,nclimgrid
19,1969,70.43755820858706,hist,nclimgrid
20,1970,71.27876886019725,hist,nclimgrid
21,1971,70.43956341836743,hist,nclimgrid
22,1972,69.83301212046564,hist,nclimgrid
23,1973,70.8232245544967,hist,nclimgrid
24,1974,70.15239198983592,hist,nclimgrid
25,1975,70.04973993624702,hist,nclimgrid
26,1976,69.68765998125397,hist,nclimgrid
27,1977,71.22558114938211,hist,nclimgrid
28,1978,70.550314629063,hist,nclimgrid
29,1979,69.82725761719544,hist,nclimgrid
30,1980,71.38667488779907,hist,nclimgrid
31,1981,71.0195167456759,hist,nclimgrid
32,1982,69.62390845748081,hist,nclimgrid
33,1983,71.28908370179462,hist,nclimgrid
34,1984,70.84279427974153,hist,nclimgrid
35,1985,70.12764323416155,hist,nclimgrid
36,1986,70.97527751085211,hist,nclimgrid
37,1987,70.93018028235409,hist,nclimgrid
38,1988,72.41701111016413,hist,nclimgrid
39,1989,70.42051660324121,hist,nclimgrid
40,1990,71.04514788398932,hist,nclimgrid
41,1991,71.21195967677848,hist,nclimgrid
42,1992,68.56801427574635,hist,nclimgrid
43,1993,69.2917329054601,hist,nclimgrid
44,1994,71.33330448052587,hist,nclimgrid
45,1995,70.95803150022007,hist,nclimgrid
46,1996,71.09942000142938,hist,nclimgrid
47,1997,70.24183098533436,hist,nclimgrid
48,1998,71.61488237458023,hist,nclimgrid
49,1999,70.94527665965119,hist,nclimgrid
50,2000,71.3845822877072,hist,nclimgrid
51,2001,71.82979467239865,hist,nclimgrid
52,2002,72.33731388708331,hist,nclimgrid
53,2003,71.97127811647957,hist,nclimgrid
54,2004,69.46433405157575,hist,nclimgrid
55,2005,71.71371422133599,hist,nclimgrid
56,2006,72.70060148965278,hist,nclimgrid
57,2007,72.3003578983954,hist,nclimgrid
58,2008,71.05336524075466,hist,nclimgrid
59,2009,69.99771712204155,hist,nclimgrid
60,2010,72.08113490296952,hist,nclimgrid
61,2011,72.58996674141758,hist,nclimgrid
62,2012,72.87703227319959,hist,nclimgrid
63,2013,71.68078321050373,hist,nclimgrid
64,2014,70.81219518735244,hist,nclimgrid
65,2015,71.87631070108581,hist,nclimgrid
66,2016,72.57744487591555,hist,nclimgrid
67,2017,71.86104473261292,hist,nclimgrid
68,2018,72.572418202146,hist,nclimgrid
69,2019,71.41872356918381,hist,nclimgrid
70,2020,,hist,nclimgrid
71,2021,,hist,nclimgrid
72,2022,,hist,nclimgrid
73,2023,,hist,nclimgrid
74,2024,,hist,nclimgrid
75,2025,,hist,nclimgrid
76,2026,,hist,nclimgrid
77,2027,,hist,nclimgrid
78,2028,,hist,nclimgrid
79,2029,,hist,nclimgrid
80,2030,,hist,nclimgrid
81,2031,,hist,nclimgrid
82,2032,,hist,nclimgrid
83,2033,,hist,nclimgrid
84,2034,,hist,nclimgrid
85,2035,,hist,nclimgrid
86,2036,,hist,nclimgrid
87,2037,,hist,nclimgrid
88,2038,,hist,nclimgrid
89,2039,,hist,nclimgrid
90,2040,,hist,nclimgrid
91,2041,,hist,nclimgrid
92,2042,,hist,nclimgrid
93,2043,,hist,nclimgrid
94,2044,,hist,nclimgrid
95,2045,,hist,nclimgrid
96,2046,,hist,nclimgrid
97,2047,,hist,nclimgrid
98,2048,,hist,nclimgrid
99,2049,,hist,nclimgrid
100,2050,,hist,nclimgrid
101,2051,,hist,nclimgrid
102,2052,,hist,nclimgrid
103,2053,,hist,nclimgrid
104,2054,,hist,nclimgrid
105,2055,,hist,nclimgrid
106,2056,,hist,nclimgrid
107,2057,,hist,nclimgrid
108,2058,,hist,nclimgrid
109,2059,,hist,nclimgrid
110,2060,,hist,nclimgrid
111,2061,,hist,nclimgrid
112,2062,,hist,nclimgrid
113,2063,,hist,nclimgrid
114,2064,,hist,nclimgrid
115,2065,,hist,nclimgrid
116,2066,,hist,nclimgrid
117,2067,,hist,nclimgrid
118,2068,,hist,nclimgrid
119,2069,,hist,nclimgrid
120,2070,,hist,nclimgrid
121,2071,,hist,nclimgrid
122,2072,,hist,nclimgrid
123,2073,,hist,nclimgrid
124,2074,,hist,nclimgrid
125,2075,,hist,nclimgrid
126,2076,,hist,nclimgrid
127,2077,,hist,nclimgrid
128,2078,,hist,nclimgrid
129,2079,,hist,nclimgrid
130,2080,,hist,nclimgrid
131,2081,,hist,nclimgrid
132,2082,,hist,nclimgrid
133,2083,,hist,nclimgrid
134,2084,,hist,nclimgrid
135,2085,,hist,nclimgrid
136,2086,,hist,nclimgrid
137,2087,,hist,nclimgrid
138,2088,,hist,nclimgrid
139,2089,,hist,nclimgrid
140,2090,,hist,nclimgrid
141,2091,,hist,nclimgrid
142,2092,,hist,nclimgrid
