,year,av_temp,scenario
68,2018,55.354044797298045,ssp245
69,2019,55.8094835434519,ssp245
70,2020,54.42255819191981,ssp245
71,2021,55.006889931904155,ssp245
72,2022,54.73410730608851,ssp245
73,2023,55.253194163324004,ssp245
74,2024,55.209090339674155,ssp245
75,2025,55.18864626538406,ssp245
76,2026,55.831322832345535,ssp245
77,2027,55.807223584556446,ssp245
78,2028,55.5695215197693,ssp245
79,2029,55.82494744728414,ssp245
80,2030,56.03737916099898,ssp245
81,2031,56.047523127238534,ssp245
82,2032,56.047523248977306,ssp245
83,2033,56.536517484121575,ssp245
84,2034,56.53250858097711,ssp245
85,2035,56.09583249550022,ssp245
86,2036,55.71211069732352,ssp245
87,2037,56.00364192755451,ssp245
88,2038,56.4151108491649,ssp245
89,2039,56.221947883671426,ssp245
90,2040,56.19257001898714,ssp245
91,2041,56.455319812975496,ssp245
92,2042,56.512719456108265,ssp245
93,2043,56.20453061639553,ssp245
94,2044,56.90586306758177,ssp245
95,2045,56.937200235388126,ssp245
96,2046,56.94436227902997,ssp245
97,2047,57.32381802745959,ssp245
98,2048,57.223413270539744,ssp245
99,2049,57.465742383492746,ssp245
100,2050,57.462183224030944,ssp245
101,2051,57.56260868110769,ssp245
102,2052,56.821503649572286,ssp245
103,2053,57.33818705742044,ssp245
104,2054,57.01750665811624,ssp245
105,2055,57.1103749080405,ssp245
106,2056,57.64129091344841,ssp245
107,2057,57.59228362021069,ssp245
108,2058,57.75147865466431,ssp245
109,2059,57.767290407526204,ssp245
110,2060,57.241487606690775,ssp245
111,2061,57.88458427116556,ssp245
112,2062,57.34318186257764,ssp245
113,2063,57.59284836741118,ssp245
114,2064,57.14463585842096,ssp245
115,2065,57.701689481895144,ssp245
116,2066,58.23950866646341,ssp245
117,2067,58.31234193346556,ssp245
118,2068,57.79006422761516,ssp245
119,2069,58.078250718675804,ssp245
120,2070,57.870927279057895,ssp245
121,2071,57.936985852809045,ssp245
122,2072,58.00302000054037,ssp245
123,2073,57.81443596390203,ssp245
124,2074,58.14756080555783,ssp245
125,2075,58.16217542875146,ssp245
126,2076,57.942497206795196,ssp245
127,2077,58.58467068755933,ssp245
128,2078,58.734508034068355,ssp245
129,2079,58.5978904612807,ssp245
130,2080,58.800108656259795,ssp245
131,2081,58.1253497721237,ssp245
132,2082,59.01495607145857,ssp245
133,2083,58.87085120324568,ssp245
134,2084,58.78310434622463,ssp245
135,2085,58.30158060935781,ssp245
136,2086,58.708887625357136,ssp245
137,2087,58.82191175556917,ssp245
138,2088,58.04550111671542,ssp245
139,2089,58.90456025066348,ssp245
140,2090,58.641008582702376,ssp245
141,2091,58.908393993848925,ssp245
142,2092,58.793555692506864,ssp245
143,2093,58.99866998085015,ssp245
144,2094,59.561481228241036,ssp245
145,2095,59.283048868135104,ssp245
146,2096,59.09532628043834,ssp245
147,2097,59.06923935069232,ssp245
148,2098,58.81750919287693,ssp245
149,2099,58.56467597754418,ssp245
150,2100,59.16251126630244,ssp245
0,1950,52.32848766461577,ssp370
1,1951,52.60920209459511,ssp370
2,1952,51.97821237213152,ssp370
3,1953,52.44347574470744,ssp370
4,1954,51.91256589205341,ssp370
5,1955,52.24961333068213,ssp370
6,1956,52.828754931633796,ssp370
7,1957,52.835255214662816,ssp370
8,1958,52.83184361640003,ssp370
9,1959,52.67754750088525,ssp370
10,1960,52.95880309848383,ssp370
11,1961,52.11260993352392,ssp370
12,1962,52.29672410457836,ssp370
13,1963,51.58471087006454,ssp370
14,1964,51.07370102358572,ssp370
15,1965,51.7421258280691,ssp370
16,1966,52.632715472264394,ssp370
17,1967,52.00414540138063,ssp370
18,1968,51.899587597771735,ssp370
19,1969,51.778500648895275,ssp370
20,1970,52.383912457457505,ssp370
21,1971,52.14976088733635,ssp370
22,1972,51.778157796617975,ssp370
23,1973,51.7297351173933,ssp370
24,1974,52.13550579154838,ssp370
25,1975,52.78203035193048,ssp370
26,1976,52.004039786085,ssp370
27,1977,52.4053704105,ssp370
28,1978,52.49461975234327,ssp370
29,1979,52.486262457087875,ssp370
30,1980,52.53960589172849,ssp370
31,1981,51.57945148750987,ssp370
32,1982,52.43742397534606,ssp370
33,1983,51.57138471546948,ssp370
34,1984,52.274450364161886,ssp370
35,1985,52.992665153777125,ssp370
36,1986,52.31753576053046,ssp370
37,1987,52.718381137063,ssp370
38,1988,52.50195042761631,ssp370
39,1989,52.901582809952785,ssp370
40,1990,52.873737931152164,ssp370
41,1991,53.20090053075864,ssp370
42,1992,51.514938872019215,ssp370
43,1993,52.04589269028019,ssp370
44,1994,52.80050067149889,ssp370
45,1995,52.95674911716941,ssp370
46,1996,53.3548362467678,ssp370
47,1997,52.94271460158475,ssp370
48,1998,53.16344957394689,ssp370
49,1999,53.37319951763367,ssp370
50,2000,53.51911336891248,ssp370
51,2001,53.69994520176278,ssp370
52,2002,53.72965662768672,ssp370
53,2003,53.38518690778793,ssp370
54,2004,54.62632975486626,ssp370
55,2005,54.575435471390094,ssp370
56,2006,54.52568880913712,ssp370
57,2007,54.305450326842035,ssp370
58,2008,53.80818260553061,ssp370
59,2009,53.838473725629065,ssp370
60,2010,54.39713425837302,ssp370
61,2011,54.12177638383078,ssp370
62,2012,53.710160855518865,ssp370
63,2013,54.797575768008215,ssp370
64,2014,54.83480474649361,ssp370
65,2015,54.56649267538134,ssp370
66,2016,54.20550889619268,ssp370
67,2017,54.72510853191653,ssp370
68,2018,55.06113890677324,ssp370
69,2019,55.24355823611687,ssp370
70,2020,54.83012552650633,ssp370
71,2021,54.52335504128536,ssp370
72,2022,54.83985461358687,ssp370
73,2023,55.005792164773645,ssp370
74,2024,55.227501052302294,ssp370
75,2025,55.59553067527794,ssp370
76,2026,56.23529224035505,ssp370
77,2027,55.46371943627344,ssp370
78,2028,55.80934148875094,ssp370
79,2029,55.681019806206216,ssp370
80,2030,55.94651693055372,ssp370
81,2031,55.94391173285657,ssp370
82,2032,55.94940119825771,ssp370
83,2033,55.97551428231396,ssp370
84,2034,56.699962837594654,ssp370
85,2035,55.848432063984234,ssp370
86,2036,56.12798169419177,ssp370
87,2037,56.42036058144738,ssp370
88,2038,56.39534382743384,ssp370
89,2039,56.33927574589402,ssp370
90,2040,56.65086256727643,ssp370
91,2041,57.133621125977214,ssp370
92,2042,56.88035543915885,ssp370
93,2043,56.53727950631845,ssp370
94,2044,57.50640507101358,ssp370
95,2045,56.644960290391595,ssp370
96,2046,56.94221452788832,ssp370
97,2047,57.29001177317396,ssp370
98,2048,57.33741558527521,ssp370
99,2049,57.25916499721582,ssp370
100,2050,57.62010672129372,ssp370
101,2051,58.04215897777367,ssp370
102,2052,57.24775664984363,ssp370
103,2053,58.11359285193251,ssp370
104,2054,58.09909933082104,ssp370
105,2055,57.43750671530768,ssp370
106,2056,57.98830220556671,ssp370
107,2057,58.351013716182656,ssp370
108,2058,58.222451270627275,ssp370
109,2059,58.174686936142656,ssp370
110,2060,58.62283688265008,ssp370
111,2061,58.630559335816,ssp370
112,2062,58.22307076117016,ssp370
113,2063,58.83056032738817,ssp370
114,2064,58.76746047784242,ssp370
115,2065,58.839519625475916,ssp370
116,2066,59.01942758510031,ssp370
117,2067,59.398081561384735,ssp370
118,2068,59.013417669118276,ssp370
119,2069,59.806734376937605,ssp370
120,2070,59.56955714481433,ssp370
121,2071,59.471757310922506,ssp370
122,2072,59.92557456043291,ssp370
123,2073,59.47493984001787,ssp370
124,2074,59.69476666145913,ssp370
125,2075,59.08382800096959,ssp370
126,2076,60.05636373235294,ssp370
127,2077,59.88163252038953,ssp370
128,2078,59.4574340903553,ssp370
129,2079,59.73254023003779,ssp370
130,2080,60.14629824188981,ssp370
131,2081,60.061771714747614,ssp370
132,2082,60.08880559029872,ssp370
133,2083,60.9281148725949,ssp370
134,2084,60.005570752903544,ssp370
135,2085,60.81532058161138,ssp370
136,2086,60.46260537641115,ssp370
137,2087,61.98327056345827,ssp370
138,2088,60.76028562562724,ssp370
139,2089,61.78483796807956,ssp370
140,2090,62.200935186057905,ssp370
141,2091,61.54730166414732,ssp370
142,2092,61.56949431750638,ssp370
143,2093,61.454657676930424,ssp370
144,2094,61.87049816522805,ssp370
145,2095,62.28657423991043,ssp370
146,2096,62.22207269240779,ssp370
147,2097,62.32937802007732,ssp370
148,2098,62.03320165210691,ssp370
149,2099,62.68641746807367,ssp370
150,2100,62.54150953960821,ssp370
0,1950,52.32428352236011,ssp585
1,1951,52.60523316342052,ssp585
2,1952,51.97555264454535,ssp585
3,1953,52.441624765875545,ssp585
4,1954,51.911371866701984,ssp585
5,1955,52.24887511585886,ssp585
6,1956,52.828565982298514,ssp585
7,1957,52.83572333183298,ssp585
8,1958,52.83280915337519,ssp585
9,1959,52.67877775562943,ssp585
10,1960,52.95820204966522,ssp585
11,1961,52.112324721922995,ssp585
12,1962,52.29668043063114,ssp585
13,1963,51.584835907350474,ssp585
14,1964,51.07395264017575,ssp585
15,1965,51.74251153131009,ssp585
16,1966,52.633208444299996,ssp585
17,1967,52.004790923326546,ssp585
18,1968,51.90028351427145,ssp585
19,1969,51.77933919942995,ssp585
20,1970,52.38334639475912,ssp585
21,1971,52.14928169901746,ssp585
22,1972,51.777674460204594,ssp585
23,1973,51.729303891363955,ssp585
24,1974,52.13507568258868,ssp585
25,1975,52.78158646109257,ssp585
26,1976,52.003563444093366,ssp585
27,1977,52.40491840115412,ssp585
28,1978,52.49427252440851,ssp585
29,1979,52.48575799143909,ssp585
30,1980,52.53937314131407,ssp585
31,1981,51.579202556654074,ssp585
32,1982,52.43707296608891,ssp585
33,1983,51.57101262834005,ssp585
34,1984,52.27418226903701,ssp585
35,1985,52.99243189899698,ssp585
36,1986,52.31714654777853,ssp585
37,1987,52.71805509182798,ssp585
38,1988,52.50154888512635,ssp585
39,1989,52.90114490469494,ssp585
40,1990,52.87555230540475,ssp585
41,1991,53.20238040344844,ssp585
42,1992,51.51638939475077,ssp585
43,1993,52.047400929364535,ssp585
44,1994,52.80152769405784,ssp585
45,1995,52.957687597508844,ssp585
46,1996,53.355569203421574,ssp585
47,1997,52.94299906777193,ssp585
48,1998,53.16327560876631,ssp585
49,1999,53.37246536232432,ssp585
50,2000,53.51916305159718,ssp585
51,2001,53.69951926212579,ssp585
52,2002,53.72800637486331,ssp585
53,2003,53.38306725996563,ssp585
54,2004,54.62321441962861,ssp585
55,2005,54.5714798169092,ssp585
56,2006,54.520935250637706,ssp585
57,2007,54.29937498778788,ssp585
58,2008,53.80004643772834,ssp585
59,2009,53.82829786540525,ssp585
60,2010,54.38084298376591,ssp585
61,2011,54.10312048585909,ssp585
62,2012,53.69199426686234,ssp585
63,2013,54.77752461970169,ssp585
64,2014,54.815392612601066,ssp585
65,2015,55.18184027837145,ssp585
66,2016,55.18262239567193,ssp585
67,2017,55.15285456150892,ssp585
68,2018,54.93624350315894,ssp585
69,2019,54.94981906462563,ssp585
70,2020,55.03707548508284,ssp585
71,2021,55.80268772163955,ssp585
72,2022,55.54171055261031,ssp585
73,2023,55.49346366864105,ssp585
74,2024,55.52189423454971,ssp585
75,2025,55.23883597305252,ssp585
76,2026,55.867841757853235,ssp585
77,2027,55.41143035030996,ssp585
78,2028,55.75250618666522,ssp585
79,2029,55.78719657512714,ssp585
80,2030,56.103947140013005,ssp585
81,2031,56.31136501676663,ssp585
82,2032,56.71984376375102,ssp585
83,2033,56.58671191086411,ssp585
84,2034,56.18900689517844,ssp585
85,2035,56.617042683225996,ssp585
86,2036,56.14572688269905,ssp585
87,2037,56.73261406470727,ssp585
88,2038,55.90121212904126,ssp585
89,2039,56.59652715719461,ssp585
90,2040,56.81200309790614,ssp585
91,2041,57.2104008414919,ssp585
92,2042,57.472409055014936,ssp585
93,2043,57.50305887154569,ssp585
94,2044,57.38268065190931,ssp585
95,2045,57.69329215908085,ssp585
96,2046,57.52359667337042,ssp585
97,2047,57.551450741271154,ssp585
98,2048,58.25112303278946,ssp585
99,2049,57.767222745399046,ssp585
100,2050,58.19514107795422,ssp585
101,2051,58.78697625937867,ssp585
102,2052,58.05307808315512,ssp585
103,2053,58.346332556156234,ssp585
104,2054,58.680683684136575,ssp585
105,2055,57.95889594310831,ssp585
106,2056,58.419149047748036,ssp585
107,2057,58.854948111541056,ssp585
108,2058,59.00632894239338,ssp585
109,2059,59.07934344507053,ssp585
110,2060,58.98934335969562,ssp585
111,2061,59.20664900771405,ssp585
112,2062,59.399766052253035,ssp585
113,2063,59.8295774704641,ssp585
