,year,av_temp,scenario
102,2052,75.08212440307858,ssp126
103,2053,74.90740214045249,ssp126
104,2054,74.67853110466409,ssp126
105,2055,74.86272403398411,ssp126
106,2056,74.67465083688654,ssp126
107,2057,75.09721069125067,ssp126
108,2058,74.78253736011732,ssp126
109,2059,74.48631797054108,ssp126
110,2060,74.75500307974798,ssp126
111,2061,74.65143528904227,ssp126
112,2062,75.06345191296235,ssp126
113,2063,74.80149744166347,ssp126
114,2064,75.02097266355025,ssp126
115,2065,74.76597849716771,ssp126
116,2066,74.72356459984066,ssp126
117,2067,74.9759846842629,ssp126
118,2068,75.0620145137929,ssp126
119,2069,75.60197045860458,ssp126
120,2070,75.18207586031814,ssp126
121,2071,74.70725980123918,ssp126
122,2072,75.0604313148545,ssp126
123,2073,74.88876903104403,ssp126
124,2074,74.88453444714837,ssp126
125,2075,74.96584414599316,ssp126
126,2076,74.30211537842885,ssp126
127,2077,74.93137803516929,ssp126
128,2078,75.17651542283949,ssp126
129,2079,74.67699421369235,ssp126
130,2080,75.00340942949741,ssp126
131,2081,74.59896598294779,ssp126
132,2082,74.76139390980686,ssp126
133,2083,74.83497149833765,ssp126
134,2084,74.45762411727158,ssp126
135,2085,74.76117285052243,ssp126
136,2086,74.9100812049661,ssp126
137,2087,74.5085469163043,ssp126
138,2088,74.78610782106523,ssp126
139,2089,74.66742838979593,ssp126
140,2090,74.73450918947815,ssp126
141,2091,74.4730564273049,ssp126
142,2092,74.92444283346855,ssp126
143,2093,74.71062323827046,ssp126
144,2094,74.4554180975455,ssp126
145,2095,74.48433035236202,ssp126
146,2096,74.67318025725055,ssp126
147,2097,74.30250382221661,ssp126
148,2098,74.2956936336446,ssp126
149,2099,74.69924336566244,ssp126
150,2100,74.33288869273755,ssp126
0,1950,70.63271515906148,ssp245
1,1951,70.48288227205545,ssp245
2,1952,70.35144573190392,ssp245
3,1953,70.7090861062848,ssp245
4,1954,70.42656324652525,ssp245
5,1955,70.47499647373365,ssp245
6,1956,70.967527264611,ssp245
7,1957,70.77310042650133,ssp245
8,1958,70.57685980874898,ssp245
9,1959,70.03237252653261,ssp245
10,1960,70.52671486454591,ssp245
11,1961,70.71875129621894,ssp245
12,1962,70.20155918669036,ssp245
13,1963,70.61852209220457,ssp245
14,1964,69.89604729742108,ssp245
15,1965,69.78931863359486,ssp245
16,1966,70.1327705748054,ssp245
17,1967,70.46275451019152,ssp245
18,1968,69.8310130496154,ssp245
19,1969,70.34144057116072,ssp245
20,1970,69.95252418150388,ssp245
21,1971,70.32172481787612,ssp245
22,1972,70.09724672112216,ssp245
23,1973,70.24930306675111,ssp245
24,1974,69.92870999542272,ssp245
25,1975,70.25579411612175,ssp245
26,1976,70.04262519079133,ssp245
27,1977,70.71058802526952,ssp245
28,1978,70.84115361672977,ssp245
29,1979,70.74871853648251,ssp245
30,1980,70.5181625535287,ssp245
31,1981,71.11000612325988,ssp245
32,1982,70.1719564261982,ssp245
33,1983,69.4620069832067,ssp245
34,1984,70.15753040315273,ssp245
35,1985,70.89533068956973,ssp245
36,1986,70.65377108581133,ssp245
37,1987,70.60033332044843,ssp245
38,1988,71.01838925527504,ssp245
39,1989,71.29337191643208,ssp245
40,1990,71.4457517013403,ssp245
41,1991,70.93814275923124,ssp245
42,1992,69.83627658025809,ssp245
43,1993,70.22463450402581,ssp245
44,1994,70.89332580647546,ssp245
45,1995,71.35931291222505,ssp245
46,1996,71.6066931416745,ssp245
47,1997,71.56670973425236,ssp245
48,1998,71.26581283804354,ssp245
49,1999,71.70210057782081,ssp245
50,2000,71.9810550888543,ssp245
51,2001,71.85550095719725,ssp245
52,2002,72.33374390881602,ssp245
53,2003,72.05996845126653,ssp245
54,2004,72.4828517430994,ssp245
55,2005,72.51326232567895,ssp245
56,2006,72.47701103894222,ssp245
57,2007,72.32016888620603,ssp245
58,2008,72.47333128321395,ssp245
59,2009,72.45311876944157,ssp245
60,2010,72.79648320672473,ssp245
61,2011,72.52485013996667,ssp245
62,2012,72.60297645452368,ssp245
63,2013,72.98078571227876,ssp245
64,2014,73.01701115985429,ssp245
65,2015,73.24941369236181,ssp245
66,2016,73.34446365755831,ssp245
67,2017,73.10142405322044,ssp245
68,2018,73.58591670738959,ssp245
69,2019,73.2570682166875,ssp245
70,2020,73.20479890151995,ssp245
71,2021,73.67980450433166,ssp245
72,2022,73.4780908206352,ssp245
73,2023,73.43515304624744,ssp245
74,2024,73.98208831947206,ssp245
75,2025,73.916922234117,ssp245
