,year,avg_son_temp_f,scenario,model
133,2083,56.336826102362906,ssp126,miroc6
134,2084,57.91394260769002,ssp126,miroc6
135,2085,56.8512816326037,ssp126,miroc6
136,2086,56.086791530785206,ssp126,miroc6
137,2087,59.7471797174689,ssp126,miroc6
138,2088,54.87386145230378,ssp126,miroc6
139,2089,56.43847731394448,ssp126,miroc6
140,2090,56.686252964775186,ssp126,miroc6
141,2091,55.70544660961296,ssp126,miroc6
142,2092,54.74777913495146,ssp126,miroc6
143,2093,57.81856076343719,ssp126,miroc6
144,2094,55.40280039817591,ssp126,miroc6
145,2095,57.956245711508004,ssp126,miroc6
146,2096,56.28206513348046,ssp126,miroc6
147,2097,56.423422349525126,ssp126,miroc6
148,2098,53.933628992734775,ssp126,miroc6
149,2099,56.18559160820789,ssp126,miroc6
150,2100,57.84326885874472,ssp126,miroc6
0,1950,52.60864044150153,ssp126,inm-cm5-0
1,1951,51.65661697141667,ssp126,inm-cm5-0
2,1952,51.37770255481496,ssp126,inm-cm5-0
3,1953,51.27817759826543,ssp126,inm-cm5-0
4,1954,53.0610819403013,ssp126,inm-cm5-0
5,1955,52.7731867202709,ssp126,inm-cm5-0
6,1956,52.07271080584825,ssp126,inm-cm5-0
7,1957,52.485917903584195,ssp126,inm-cm5-0
8,1958,52.832916148354585,ssp126,inm-cm5-0
9,1959,53.08945833063051,ssp126,inm-cm5-0
10,1960,53.78083984002529,ssp126,inm-cm5-0
11,1961,50.80917788786675,ssp126,inm-cm5-0
12,1962,53.96993695440209,ssp126,inm-cm5-0
13,1963,51.89274133275548,ssp126,inm-cm5-0
14,1964,52.786544932326294,ssp126,inm-cm5-0
15,1965,51.71808014832718,ssp126,inm-cm5-0
16,1966,50.848791592169206,ssp126,inm-cm5-0
17,1967,53.111590343049116,ssp126,inm-cm5-0
18,1968,52.93156938857691,ssp126,inm-cm5-0
19,1969,53.84750330563082,ssp126,inm-cm5-0
20,1970,52.65753265695548,ssp126,inm-cm5-0
21,1971,52.399007766525344,ssp126,inm-cm5-0
22,1972,50.46475621450219,ssp126,inm-cm5-0
23,1973,52.92441895362514,ssp126,inm-cm5-0
24,1974,51.2258868641499,ssp126,inm-cm5-0
25,1975,52.47940384555102,ssp126,inm-cm5-0
26,1976,53.9778461387454,ssp126,inm-cm5-0
27,1977,52.96734606801775,ssp126,inm-cm5-0
28,1978,52.12889209507885,ssp126,inm-cm5-0
29,1979,54.115943882294104,ssp126,inm-cm5-0
30,1980,52.22511816076304,ssp126,inm-cm5-0
31,1981,50.527992821428256,ssp126,inm-cm5-0
32,1982,50.67205519665545,ssp126,inm-cm5-0
33,1983,50.62824527549116,ssp126,inm-cm5-0
34,1984,52.72824017533706,ssp126,inm-cm5-0
35,1985,51.259035303498,ssp126,inm-cm5-0
36,1986,53.35379577304856,ssp126,inm-cm5-0
37,1987,52.698180991338745,ssp126,inm-cm5-0
38,1988,52.12986405834981,ssp126,inm-cm5-0
39,1989,53.542629852071336,ssp126,inm-cm5-0
40,1990,54.282376471130824,ssp126,inm-cm5-0
41,1991,54.62972279970122,ssp126,inm-cm5-0
42,1992,50.935714871361895,ssp126,inm-cm5-0
43,1993,52.82583181559328,ssp126,inm-cm5-0
44,1994,51.67906615396332,ssp126,inm-cm5-0
45,1995,51.78511486677208,ssp126,inm-cm5-0
46,1996,53.42138972132956,ssp126,inm-cm5-0
47,1997,52.814828570635726,ssp126,inm-cm5-0
48,1998,53.23725924837245,ssp126,inm-cm5-0
49,1999,52.451820077312576,ssp126,inm-cm5-0
50,2000,53.86940117993116,ssp126,inm-cm5-0
51,2001,53.46400477021137,ssp126,inm-cm5-0
52,2002,54.90717739391035,ssp126,inm-cm5-0
53,2003,54.34996594529174,ssp126,inm-cm5-0
54,2004,55.29821861481599,ssp126,inm-cm5-0
55,2005,54.45143759961905,ssp126,inm-cm5-0
56,2006,53.45598777186472,ssp126,inm-cm5-0
57,2007,54.34932646615073,ssp126,inm-cm5-0
58,2008,55.48285807212744,ssp126,inm-cm5-0
59,2009,54.45152346499896,ssp126,inm-cm5-0
60,2010,53.81467033664471,ssp126,inm-cm5-0
61,2011,54.529012605746324,ssp126,inm-cm5-0
62,2012,53.76539762557994,ssp126,inm-cm5-0
63,2013,52.580501977770524,ssp126,inm-cm5-0
64,2014,56.09353867878146,ssp126,inm-cm5-0
65,2015,53.85997309816447,ssp126,inm-cm5-0
66,2016,55.904256673886344,ssp126,inm-cm5-0
67,2017,54.9162912203737,ssp126,inm-cm5-0
68,2018,52.53685713691944,ssp126,inm-cm5-0
