,year,avg_ann_temp_f,scenario,model
6,1956,53.03164991567198,ssp585,access-cm2
7,1957,51.1309572086971,ssp585,access-cm2
8,1958,50.352838041252554,ssp585,access-cm2
9,1959,50.67368145376829,ssp585,access-cm2
10,1960,50.324248805249645,ssp585,access-cm2
11,1961,52.14747990451347,ssp585,access-cm2
12,1962,52.39181068868293,ssp585,access-cm2
13,1963,50.563480371970094,ssp585,access-cm2
14,1964,50.215871110129086,ssp585,access-cm2
15,1965,49.72945908366858,ssp585,access-cm2
16,1966,50.19156125915273,ssp585,access-cm2
17,1967,50.889496870167214,ssp585,access-cm2
18,1968,50.77912725822594,ssp585,access-cm2
19,1969,49.97239809674492,ssp585,access-cm2
20,1970,50.03789659172833,ssp585,access-cm2
21,1971,51.08715305668101,ssp585,access-cm2
22,1972,51.48393246169102,ssp585,access-cm2
23,1973,49.803200626675284,ssp585,access-cm2
24,1974,50.41746569057721,ssp585,access-cm2
25,1975,49.90016298516298,ssp585,access-cm2
26,1976,52.19480837612483,ssp585,access-cm2
27,1977,50.86193999226241,ssp585,access-cm2
28,1978,51.56927035742328,ssp585,access-cm2
29,1979,52.761835277800216,ssp585,access-cm2
30,1980,50.28481911130466,ssp585,access-cm2
31,1981,51.112311384882545,ssp585,access-cm2
32,1982,50.639406441591355,ssp585,access-cm2
33,1983,51.22421731800717,ssp585,access-cm2
34,1984,52.141957796276955,ssp585,access-cm2
35,1985,50.624236602185256,ssp585,access-cm2
36,1986,50.9736029778694,ssp585,access-cm2
37,1987,52.248827163782146,ssp585,access-cm2
38,1988,52.03965436085782,ssp585,access-cm2
39,1989,50.828934887223916,ssp585,access-cm2
40,1990,50.42966698608808,ssp585,access-cm2
41,1991,51.108482151022336,ssp585,access-cm2
42,1992,50.40762662975967,ssp585,access-cm2
43,1993,50.96772126752039,ssp585,access-cm2
44,1994,50.55965562805307,ssp585,access-cm2
45,1995,50.787917788219666,ssp585,access-cm2
46,1996,51.12079234240083,ssp585,access-cm2
47,1997,53.24922763536599,ssp585,access-cm2
48,1998,51.77578131513714,ssp585,access-cm2
49,1999,51.989419664197705,ssp585,access-cm2
50,2000,52.296943579715204,ssp585,access-cm2
51,2001,52.80356351453571,ssp585,access-cm2
52,2002,53.3839728402046,ssp585,access-cm2
53,2003,53.41881503008505,ssp585,access-cm2
54,2004,52.39927312076777,ssp585,access-cm2
55,2005,52.06323808978426,ssp585,access-cm2
56,2006,51.75349276500137,ssp585,access-cm2
57,2007,52.864415748257144,ssp585,access-cm2
58,2008,51.652092069199036,ssp585,access-cm2
59,2009,53.46342009626994,ssp585,access-cm2
60,2010,53.10103823726998,ssp585,access-cm2
61,2011,52.63403591003551,ssp585,access-cm2
62,2012,52.13558935902265,ssp585,access-cm2
63,2013,53.61042090946522,ssp585,access-cm2
64,2014,53.047264900741226,ssp585,access-cm2
65,2015,52.82641261147805,ssp585,access-cm2
66,2016,54.125613758496456,ssp585,access-cm2
67,2017,54.4389051641204,ssp585,access-cm2
68,2018,52.33069507912453,ssp585,access-cm2
69,2019,54.1299862169083,ssp585,access-cm2
70,2020,53.750892852556916,ssp585,access-cm2
71,2021,54.17531286145649,ssp585,access-cm2
72,2022,56.60161815431299,ssp585,access-cm2
73,2023,53.36857661636277,ssp585,access-cm2
74,2024,56.243474054601855,ssp585,access-cm2
75,2025,55.34821799277054,ssp585,access-cm2
76,2026,56.299120875694214,ssp585,access-cm2
77,2027,55.479501037352506,ssp585,access-cm2
78,2028,54.84281631259526,ssp585,access-cm2
79,2029,54.62538099045615,ssp585,access-cm2
80,2030,55.45957772974943,ssp585,access-cm2
81,2031,56.292965414850016,ssp585,access-cm2
82,2032,56.226989142904394,ssp585,access-cm2
83,2033,54.87963627535725,ssp585,access-cm2
84,2034,56.2833705902317,ssp585,access-cm2
85,2035,55.048478652920004,ssp585,access-cm2
86,2036,56.502386905055516,ssp585,access-cm2
87,2037,56.00515258070621,ssp585,access-cm2
88,2038,56.155784732941115,ssp585,access-cm2
89,2039,56.895586407671594,ssp585,access-cm2
90,2040,57.58845666876102,ssp585,access-cm2
91,2041,55.79833682803792,ssp585,access-cm2
92,2042,56.64593487530367,ssp585,access-cm2
93,2043,56.58462218711221,ssp585,access-cm2
94,2044,56.40604095535221,ssp585,access-cm2
95,2045,55.361595792750464,ssp585,access-cm2
96,2046,57.170888324821625,ssp585,access-cm2
97,2047,57.977813033404594,ssp585,access-cm2
98,2048,58.21110012598503,ssp585,access-cm2
99,2049,56.082008742225554,ssp585,access-cm2
100,2050,57.753659653463046,ssp585,access-cm2
101,2051,57.31908418160104,ssp585,access-cm2
102,2052,57.89912881365243,ssp585,access-cm2
103,2053,57.88917799602229,ssp585,access-cm2
104,2054,57.49451997008457,ssp585,access-cm2
105,2055,58.34644092697008,ssp585,access-cm2
106,2056,57.58202740251559,ssp585,access-cm2
107,2057,58.43586603847789,ssp585,access-cm2
108,2058,57.708921615533335,ssp585,access-cm2
109,2059,58.29596571680853,ssp585,access-cm2
110,2060,57.53537211131954,ssp585,access-cm2
111,2061,59.179145991405264,ssp585,access-cm2
112,2062,59.04333098464182,ssp585,access-cm2
113,2063,58.9172418958852,ssp585,access-cm2
114,2064,59.191824476744515,ssp585,access-cm2
115,2065,61.061597666518324,ssp585,access-cm2
116,2066,60.18466314495879,ssp585,access-cm2
117,2067,60.01272631821336,ssp585,access-cm2
118,2068,60.260830070183346,ssp585,access-cm2
119,2069,60.17850044925962,ssp585,access-cm2
120,2070,61.43981197297474,ssp585,access-cm2
121,2071,61.23752978488336,ssp585,access-cm2
122,2072,61.24094214659945,ssp585,access-cm2
123,2073,60.68611099039697,ssp585,access-cm2
124,2074,60.695914713868966,ssp585,access-cm2
125,2075,62.65977537114497,ssp585,access-cm2
126,2076,61.618199171683514,ssp585,access-cm2
127,2077,61.88363678034989,ssp585,access-cm2
128,2078,61.581661620089456,ssp585,access-cm2
129,2079,61.31406469242124,ssp585,access-cm2
130,2080,61.57623019354789,ssp585,access-cm2
131,2081,62.495230755051296,ssp585,access-cm2
132,2082,63.06475398485385,ssp585,access-cm2
133,2083,63.97487743833213,ssp585,access-cm2
134,2084,62.11678152428004,ssp585,access-cm2
135,2085,62.382090871679715,ssp585,access-cm2
136,2086,62.803453885057245,ssp585,access-cm2
137,2087,63.161798245722636,ssp585,access-cm2
138,2088,63.079026945291545,ssp585,access-cm2
139,2089,64.09222311351591,ssp585,access-cm2
140,2090,63.96315483669334,ssp585,access-cm2
141,2091,63.7350460429205,ssp585,access-cm2
142,2092,64.59991561936157,ssp585,access-cm2
143,2093,64.52167038171623,ssp585,access-cm2
144,2094,64.33340668000741,ssp585,access-cm2
145,2095,63.43664860584072,ssp585,access-cm2
146,2096,65.48037985511206,ssp585,access-cm2
147,2097,66.83181276108087,ssp585,access-cm2
148,2098,64.49998110030049,ssp585,access-cm2
149,2099,65.61666151305535,ssp585,access-cm2
150,2100,65.46077752193095,ssp585,access-cm2
0,1950,51.7942005449961,ssp585,noresm2-mm
1,1951,51.928161973326226,ssp585,noresm2-mm
2,1952,51.196850350821705,ssp585,noresm2-mm
3,1953,51.00949400722548,ssp585,noresm2-mm
