station,year,month,ph,scenario
bats1,1871,5,8.21,historical
bats1,1871,6,8.18,historical
bats1,1871,7,8.14,historical
bats1,1871,8,8.12,historical
bats1,1871,9,8.13,historical
bats1,1871,10,8.16,historical
bats1,1871,11,8.18,historical
bats1,1871,12,8.21,historical
bats1,1872,1,8.21,historical
bats1,1872,2,8.21,historical
bats1,1872,3,8.21,historical
bats1,1872,4,8.22,historical
bats1,1872,5,8.2,historical
bats1,1872,6,8.17,historical
bats1,1872,7,8.14,historical
bats1,1872,8,8.12,historical
bats1,1872,9,8.13,historical
bats1,1872,10,8.16,historical
bats1,1872,11,8.18,historical
bats1,1872,12,8.2,historical
bats1,1873,1,8.21,historical
bats1,1873,2,8.21,historical
bats1,1873,3,8.21,historical
bats1,1873,4,8.22,historical
bats1,1873,5,8.21,historical
bats1,1873,6,8.18,historical
bats1,1873,7,8.14,historical
bats1,1873,8,8.13,historical
bats1,1873,9,8.13,historical
bats1,1873,10,8.16,historical
bats1,1873,11,8.18,historical
bats1,1873,12,8.2,historical
bats1,1874,1,8.21,historical
bats1,1874,2,8.21,historical
bats1,1874,3,8.21,historical
bats1,1874,4,8.21,historical
bats1,1874,5,8.2,historical
bats1,1874,6,8.17,historical
bats1,1874,7,8.14,historical
bats1,1874,8,8.13,historical
bats1,1874,9,8.13,historical
bats1,1874,10,8.15,historical
bats1,1874,11,8.18,historical
bats1,1874,12,8.2,historical
bats1,1875,1,8.21,historical
bats1,1875,2,8.21,historical
bats1,1875,3,8.21,historical
bats1,1875,4,8.22,historical
bats1,1875,5,8.21,historical
bats1,1875,6,8.18,historical
bats1,1875,7,8.14,historical
bats1,1875,8,8.13,historical
bats1,1875,9,8.13,historical
bats1,1875,10,8.16,historical
bats1,1875,11,8.19,historical
bats1,1875,12,8.2,historical
bats1,1876,1,8.21,historical
bats1,1876,2,8.21,historical
bats1,1876,3,8.21,historical
bats1,1876,4,8.21,historical
bats1,1876,5,8.2,historical
bats1,1876,6,8.17,historical
bats1,1876,7,8.14,historical
bats1,1876,8,8.12,historical
bats1,1876,9,8.12,historical
bats1,1876,10,8.15,historical
bats1,1876,11,8.18,historical
bats1,1876,12,8.2,historical
bats1,1877,1,8.21,historical
bats1,1877,2,8.21,historical
bats1,1877,3,8.21,historical
bats1,1877,4,8.21,historical
bats1,1877,5,8.2,historical
bats1,1877,6,8.18,historical
bats1,1877,7,8.15,historical
bats1,1877,8,8.13,historical
bats1,1877,9,8.13,historical
bats1,1877,10,8.16,historical
bats1,1877,11,8.18,historical
bats1,1877,12,8.2,historical
bats1,1878,1,8.21,historical
bats1,1878,2,8.21,historical
bats1,1878,3,8.21,historical
bats1,1878,4,8.22,historical
bats1,1878,5,8.2,historical
bats1,1878,6,8.17,historical
bats1,1878,7,8.14,historical
bats1,1878,8,8.12,historical
bats1,1878,9,8.13,historical
bats1,1878,10,8.15,historical
bats1,1878,11,8.19,historical
bats1,1878,12,8.2,historical
bats1,1879,1,8.21,historical
bats1,1879,2,8.2,historical
bats1,1879,3,8.21,historical
bats1,1879,4,8.22,historical
bats1,1879,5,8.2,historical
bats1,1879,6,8.17,historical
bats1,1879,7,8.14,historical
bats1,1879,8,8.12,historical
bats1,1879,9,8.13,historical
bats1,1879,10,8.15,historical
bats1,1879,11,8.18,historical
bats1,1879,12,8.2,historical
bats1,1880,1,8.21,historical
bats1,1880,2,8.21,historical
bats1,1880,3,8.21,historical
bats1,1880,4,8.21,historical
bats1,1880,5,8.2,historical
bats1,1880,6,8.18,historical
bats1,1880,7,8.15,historical
bats1,1880,8,8.13,historical
bats1,1880,9,8.13,historical
bats1,1880,10,8.16,historical
bats1,1880,11,8.19,historical
bats1,1880,12,8.21,historical
bats1,1881,1,8.21,historical
bats1,1881,2,8.21,historical
bats1,1881,3,8.21,historical
bats1,1881,4,8.21,historical
bats1,1881,5,8.2,historical
bats1,1881,6,8.18,historical
bats1,1881,7,8.15,historical
bats1,1881,8,8.13,historical
bats1,1881,9,8.13,historical
bats1,1881,10,8.15,historical
bats1,1881,11,8.18,historical
bats1,1881,12,8.2,historical
bats1,1882,1,8.2,historical
bats1,1882,2,8.21,historical
bats1,1882,3,8.21,historical
bats1,1882,4,8.21,historical
bats1,1882,5,8.2,historical
bats1,1882,6,8.18,historical
bats1,1882,7,8.15,historical
bats1,1882,8,8.13,historical
bats1,1882,9,8.13,historical
bats1,1882,10,8.16,historical
bats1,1882,11,8.19,historical
bats1,1882,12,8.2,historical
bats1,1883,1,8.21,historical
bats1,1883,2,8.21,historical
bats1,1883,3,8.21,historical
bats1,1883,4,8.21,historical
bats1,1883,5,8.21,historical
bats1,1883,6,8.18,historical
bats1,1883,7,8.14,historical
bats1,1883,8,8.13,historical
bats1,1883,9,8.13,historical
bats1,1883,10,8.15,historical
bats1,1883,11,8.18,historical
bats1,1883,12,8.2,historical
bats1,1884,1,8.21,historical
bats1,1884,2,8.21,historical
bats1,1884,3,8.21,historical
bats1,1884,4,8.21,historical
bats1,1884,5,8.2,historical
bats1,1884,6,8.18,historical
bats1,1884,7,8.15,historical
bats1,1884,8,8.14,historical
bats1,1884,9,8.14,historical
bats1,1884,10,8.16,historical
bats1,1884,11,8.19,historical
bats1,1884,12,8.2,historical
bats1,1885,1,8.21,historical
bats1,1885,2,8.21,historical
bats1,1885,3,8.21,historical
bats1,1885,4,8.21,historical
bats1,1885,5,8.2,historical
bats1,1885,6,8.17,historical
bats1,1885,7,8.14,historical
bats1,1885,8,8.12,historical
bats1,1885,9,8.13,historical
bats1,1885,10,8.16,historical
bats1,1885,11,8.19,historical
bats1,1885,12,8.21,historical
bats1,1886,1,8.21,historical
bats1,1886,2,8.21,historical
bats1,1886,3,8.21,historical
bats1,1886,4,8.21,historical
bats1,1886,5,8.2,historical
bats1,1886,6,8.18,historical
bats1,1886,7,8.14,historical
bats1,1886,8,8.12,historical
bats1,1886,9,8.12,historical
bats1,1886,10,8.16,historical
bats1,1886,11,8.19,historical
bats1,1886,12,8.21,historical
bats1,1887,1,8.21,historical
bats1,1887,2,8.21,historical
bats1,1887,3,8.21,historical
bats1,1887,4,8.21,historical
bats1,1887,5,8.21,historical
bats1,1887,6,8.18,historical
bats1,1887,7,8.15,historical
bats1,1887,8,8.13,historical
bats1,1887,9,8.13,historical
bats1,1887,10,8.16,historical
bats1,1887,11,8.18,historical
bats1,1887,12,8.2,historical
bats1,1888,1,8.21,historical
bats1,1888,2,8.21,historical
bats1,1888,3,8.21,historical
bats1,1888,4,8.22,historical
bats1,1888,5,8.2,historical
bats1,1888,6,8.17,historical
bats1,1888,7,8.13,historical
bats1,1888,8,8.12,historical
bats1,1888,9,8.12,historical
bats1,1888,10,8.15,historical
bats1,1888,11,8.18,historical
bats1,1888,12,8.2,historical
bats1,1889,1,8.21,historical
bats1,1889,2,8.21,historical
bats1,1889,3,8.21,historical
bats1,1889,4,8.21,historical
bats1,1889,5,8.2,historical
bats1,1889,6,8.17,historical
bats1,1889,7,8.14,historical
bats1,1889,8,8.12,historical
bats1,1889,9,8.13,historical
bats1,1889,10,8.15,historical
bats1,1889,11,8.18,historical
bats1,1889,12,8.2,historical
bats1,1890,1,8.21,historical
bats1,1890,2,8.21,historical
